term,coef,se,t,p,n,r2,regime,model
const,1.408716757289709,0.008994291495799594,156.62342697560902,0.0,58486,0.40337119362321083,everyday,density
ses_log10_density,-1.1275304794597178,0.008057062455723931,-139.9431226524368,0.0,58486,0.40337119362321083,everyday,density
const,0.1729793459920884,0.007537848946770746,22.948104587077676,1.539106469462702e-116,56081,0.1243889051035636,everyday,ses
ses_census_employment_share,0.5410461007733607,0.011430670228249852,47.3328413793458,0.0,56081,0.1243889051035636,everyday,ses
const,0.0784263893511277,0.007581558739236177,10.344362161999019,4.438620611914167e-25,56766,0.051668907707371425,everyday,ses
ses_census_foreign_born_share,-0.28633564090101654,0.013623976704973215,-21.01703835096065,4.581436305461099e-98,56766,0.051668907707371425,everyday,ses
const,0.0007996256584133555,0.008005338745877682,0.09988654868916318,0.9204343955303789,56766,2.853653762857622e-05,everyday,ses
ses_census_share_ge65,0.008309978279527586,0.012525991319193346,0.6634188119541772,0.5070623609600162,56766,2.853653762857622e-05,everyday,ses
const,-0.0015509582526818874,0.008224220622786426,-0.18858422260520674,0.8504186994631061,56766,0.002390950767189648,everyday,ses
ses_census_share_u15,0.06498165782234762,0.01225108658602393,5.304154645064615,1.1319632307589349e-07,56766,0.002390950767189648,everyday,ses
const,0.8403848216674614,0.0101324018400114,82.94033684579134,0.0,58486,0.14355354398252618,emergency,density
ses_log10_density,-0.6726401854752072,0.007379268254279323,-91.15269458934975,0.0,58486,0.14355354398252618,emergency,density
const,0.0737933372568893,0.006320824848735721,11.674637254289573,1.7179699321738417e-31,56081,0.022637446998484023,emergency,ses
ses_census_employment_share,0.23081135586973223,0.008638450838802717,26.71906805708262,2.8263778777769756e-157,56081,0.022637446998484023,emergency,ses
const,0.06548654238475142,0.0065289059924281915,10.030247404496027,1.122350243169983e-23,56766,0.036025412299384274,emergency,ses
ses_census_foreign_born_share,-0.23909211222484594,0.010645064049058772,-22.46037328878132,1.0133328083990234e-111,56766,0.036025412299384274,emergency,ses
const,0.033501625671351995,0.006222811086116376,5.383680334776189,7.297806091423409e-08,56766,0.05009098817630708,emergency,ses
ses_census_share_ge65,0.3481601405964452,0.009348979506577863,37.240443232492126,1.5129639851810438e-303,56766,0.05009098817630708,emergency,ses
const,0.0005368079946337977,0.006936822611269387,0.077385284980722,0.9383170465616898,56766,0.0002864233155647211,emergency,ses
ses_census_share_u15,-0.022491046011896183,0.009669714301025298,-2.325926631514999,0.020022465036320658,56766,0.0002864233155647211,emergency,ses
