term,coef,se,t,p,n,r2,regime,model
const,1.4267802883564489,0.00975177026697552,146.30987495555104,0.0,56465,0.36946028859864066,everyday,density
ses_log10_density,-1.218740025605157,0.00893669063040614,-136.37487029689981,0.0,56465,0.36946028859864066,everyday,density
const,0.1682522816159375,0.007681769383868167,21.90280301427297,2.4428128982804733e-106,55391,0.08529476131143043,everyday,ses
ses_census_employment_share,0.4309112527984161,0.009898343758500615,43.53367222959428,0.0,55391,0.08529476131143043,everyday,ses
const,0.03846491117237002,0.008156115302950594,4.716082319048969,2.4042919076600855e-06,55744,0.011141827396696335,everyday,ses
ses_census_foreign_born_share,-0.10274157184152354,0.005386002189590772,-19.075664699893082,4.022752475573488e-81,55744,0.011141827396696335,everyday,ses
const,0.060578752934035876,0.0067292676970212,9.002280138275948,2.2107759717888415e-19,55744,0.03266459144970424,everyday,ses
ses_census_share_ge65,0.2832083237230745,0.010824039025726389,26.164754492287937,6.695932075611504e-151,55744,0.03266459144970424,everyday,ses
const,0.0029349678820576987,0.006720465497927462,0.43672092103780896,0.6623137549074629,55744,0.021320812003884027,everyday,ses
ses_census_share_u15,0.18893740971481185,0.010391944184700349,18.181141695600807,7.280221484326501e-74,55744,0.021320812003884027,everyday,ses
const,1.1453333603841171,0.01000503853541065,114.47565707322961,0.0,56465,0.23807696914534737,emergency,density
ses_log10_density,-0.9783311560667248,0.007908365790965939,-123.70838450395325,0.0,56465,0.23807696914534737,emergency,density
const,0.1941999219265774,0.007477789342396526,25.970231713473098,1.0745549863580909e-148,55391,0.11363144661818247,emergency,ses
ses_census_employment_share,0.4973658059612862,0.01735766473563335,28.653958555856285,1.4309650197419655e-180,55391,0.11363144661818247,emergency,ses
const,0.12420156594950302,0.007177437889591692,17.30444315367925,4.354710171403817e-67,55744,0.11616655269990295,emergency,ses
ses_census_foreign_born_share,-0.3317481757242888,0.005604507716185214,-59.19309822096164,0.0,55744,0.11616655269990295,emergency,ses
const,0.14443588853856545,0.006092399060556877,23.70755544784738,3.0135005248256556e-124,55744,0.18568926963755283,emergency,ses
ses_census_share_ge65,0.6752441061802921,0.008249004663178554,81.85764631633789,0.0,55744,0.18568926963755283,emergency,ses
const,0.0013840071399286481,0.006638006601278063,0.20849740337139394,0.8348406099005506,55744,0.004741040834599364,emergency,ses
ses_census_share_u15,0.08909491842943086,0.009270278849065396,9.610813210695724,7.197823945665194e-22,55744,0.004741040834599364,emergency,ses
