term,coef,se,t,p,n,r2,regime,model
const,1.4503822217208826,0.008703885038594254,166.63618778162663,0.0,77083,0.38447238570548203,everyday,density
ses_log10_density,-0.9954171296797083,0.006847384230559771,-145.37188160658152,0.0,77083,0.38447238570548203,everyday,density
const,0.01085193803749492,0.007421479385258012,1.4622338046308063,0.14367715106107964,70993,0.021920364726747854,everyday,ses
ses_census_employment_share,-0.24347931887228436,0.013017822596163646,-18.703536407389493,4.632782979802742e-78,70993,0.021920364726747854,everyday,ses
const,0.04189348025720397,0.0074391961742261686,5.631452548912217,1.7869814404872406e-08,71878,0.023066609436861563,everyday,ses
ses_census_foreign_born_share,0.2517129540831158,0.009248426664685859,27.216840572922,4.104943805769948e-163,71878,0.023066609436861563,everyday,ses
const,0.03655097690113493,0.007922638674932989,4.613485279441206,3.959723202466919e-06,71878,0.014632903784960738,everyday,ses
ses_census_share_ge65,0.23589217138694552,0.012878903387483284,18.3161690316121,6.149209325826455e-75,71878,0.014632903784960738,everyday,ses
const,0.05387187797219956,0.00817150443247418,6.592651135096816,4.320409943730519e-11,71878,0.02955877332654777,everyday,ses
ses_census_share_u15,-0.2885349006082898,0.014349933493479936,-20.107054903034154,6.401353793050416e-90,71878,0.02955877332654777,everyday,ses
const,0.4223901713578173,0.011692696505962151,36.124273912560625,9.433172810286035e-286,77083,0.032608275016920096,emergency,density
ses_log10_density,-0.2898921440715457,0.00985971198390382,-29.40168481034745,5.225947009468981e-190,77083,0.032608275016920096,emergency,density
const,0.003695009623156772,0.007635162758910152,0.48394641212392436,0.6284239006860077,70993,0.0025413490154029272,emergency,ses
ses_census_employment_share,-0.08290301908879366,0.008959898776413153,-9.252673624732799,2.1894615945010202e-20,70993,0.0025413490154029272,emergency,ses
const,0.06678863774956519,0.007679649529613213,8.696834079735538,3.412718774080811e-18,71878,0.058626781429858665,emergency,ses
ses_census_foreign_born_share,0.40129311778147925,0.012996142168964348,30.87786456659376,2.3682406118540718e-209,71878,0.058626781429858665,emergency,ses
const,0.03700084571980217,0.008048628604018176,4.597161521570266,4.282855988181797e-06,71878,0.014995323546834638,emergency,ses
ses_census_share_ge65,0.23879552832763043,0.013360339307343165,17.87346285407457,1.898358968163996e-71,71878,0.014995323546834638,emergency,ses
const,0.03765298140471763,0.008009544689378159,4.701013960837381,2.5887281345960466e-06,71878,0.014439791292014004,emergency,ses
ses_census_share_u15,-0.2016673569988106,0.009812679115900105,-20.55171218959318,7.429603164806383e-94,71878,0.014439791292014004,emergency,ses
