term,coef,se,t,p,n,r2,regime,model
const,0.9420554998644095,0.014923110332249941,63.127289076497554,0.0,110049,0.17252264281835628,everyday,density
ses_log10_density,-0.9717464351222671,0.018056979356662246,-53.815558844493815,0.0,110049,0.17252264281835628,everyday,density
const,0.0779622085012582,0.0046428110921483655,16.792026846214583,2.7914662070385146e-63,104111,0.043310205894901754,everyday,ses
ses_census_employment_share,0.31720813208580934,0.013165652627797625,24.093612451544114,2.916423439790065e-128,104111,0.043310205894901754,everyday,ses
const,0.05250334168874983,0.0048237038374508755,10.884445533558221,1.3672813650846132e-27,104629,0.015431352289789091,everyday,ses
ses_census_foreign_born_share,-0.1265624285627558,0.009105092021210074,-13.900181158842978,6.318124945271737e-44,104629,0.015431352289789091,everyday,ses
const,0.013776847750207455,0.004141578622191208,3.3264725861749938,0.0008795267080390953,104629,0.0028305572881881513,everyday,ses
ses_census_share_ge65,0.07241801737876485,0.008517822339217565,8.50194034281972,1.8644762950310563e-17,104629,0.0028305572881881513,everyday,ses
const,0.018729306115423082,0.004158727126170558,4.503615059896805,6.680717045876345e-06,104629,0.03530894550440378,everyday,ses
ses_census_share_u15,-0.27018156798518334,0.009221908651906745,-29.29779270035601,1.106502076697451e-188,104629,0.03530894550440378,everyday,ses
const,0.380622879839955,0.008860894669944594,42.95535541472981,0.0,110049,0.02816325875045589,emergency,density
ses_log10_density,-0.39261904066552644,0.008119801125329479,-48.35328287053275,0.0,110049,0.02816325875045589,emergency,density
const,0.059067833134688975,0.0038681627562878406,15.270255378647665,1.2069946263738704e-52,104111,0.024861312956411474,emergency,ses
ses_census_employment_share,0.24033178863459898,0.006650875439199284,36.135361552273054,6.317551311734418e-286,104111,0.024861312956411474,emergency,ses
const,0.08505338784104892,0.004208290617298353,20.210911169355423,7.848567702914577e-91,104629,0.04049611195532565,emergency,ses
ses_census_foreign_born_share,-0.20502625121401888,0.005624434853605485,-36.45277375425354,6.217356526953568e-291,104629,0.04049611195532565,emergency,ses
const,0.028722070840535487,0.003548035306100248,8.095204349052764,5.716830021409428e-16,104629,0.01230279334757134,emergency,ses
ses_census_share_ge65,0.1509776011898426,0.0056387158406570655,26.775174606466702,6.288990438678772e-158,104629,0.01230279334757134,emergency,ses
const,-0.0008997929979783025,0.0035201613629525755,-0.2556112931208332,0.7982509973889572,104629,8.149417926761604e-05,emergency,ses
ses_census_share_u15,0.012980058180355922,0.006244283748412191,2.078710498006519,0.03764396749517568,104629,8.149417926761604e-05,emergency,ses
