term,coef,se,t,p,n,r2,regime,model
const,0.6547469855925597,0.008626900596264302,75.89596962275004,0.0,78690,0.09135800578706155,everyday,density
ses_log10_density,-0.6470939581686783,0.01059101983677977,-61.098361455380775,0.0,78690,0.09135800578706155,everyday,density
const,0.10092471258337678,0.005795130900361839,17.415432769098487,6.301064578022576e-68,69566,0.04503639273849247,everyday,ses
ses_census_employment_share,0.23584816885796217,0.006613277314040296,35.66282762061792,1.4908313583921936e-278,69566,0.04503639273849247,everyday,ses
const,0.11889510064689071,0.005905971176407286,20.13133777588411,3.9226072681568143e-90,69581,0.052760663456861034,everyday,ses
ses_census_foreign_born_share,-0.17864713179237587,0.006744713501110407,-26.486985957663663,1.3689260691638056e-154,69581,0.052760663456861034,everyday,ses
const,0.003998205746129792,0.005831833048329095,0.6855830256106759,0.49297608852635877,69581,0.0005744489721984936,everyday,ses
ses_census_share_ge65,0.02675520869325161,0.010455853643207362,2.5588736803554166,0.010501189158077106,69581,0.0005744489721984936,everyday,ses
const,0.03808541903575868,0.006243303239059786,6.1002033022336715,1.0593364222159465e-09,69581,0.020371964457289393,everyday,ses
ses_census_share_u15,-0.14939137434127156,0.008543490896385505,-17.485987420490442,1.832118362793742e-68,69581,0.020371964457289393,everyday,ses
const,0.4715022702516899,0.011551007196747528,40.81914782153828,0.0,78690,0.047376958015332815,emergency,density
ses_log10_density,-0.46599110352002077,0.017526367390715596,-26.58800270082633,9.343394674300688e-156,78690,0.047376958015332815,emergency,density
const,0.09950080925426011,0.009601603675631905,10.36293650682387,3.655633565049861e-25,69566,0.04377455915008832,emergency,ses
ses_census_employment_share,0.23252068855896763,0.005120923927501859,45.40600326246171,0.0,69566,0.04377455915008832,emergency,ses
const,0.12341927260982732,0.00988409864837988,12.486649213082995,8.829458890597496e-36,69581,0.05685233355365982,emergency,ses
ses_census_foreign_born_share,-0.1854449757785168,0.003326325645035127,-55.75069778730532,0.0,69581,0.05685233355365982,emergency,ses
const,0.01332953126026557,0.008056393124803326,1.6545284041847166,0.0980201969869199,69581,0.0063848534544781455,emergency,ses
ses_census_share_ge65,0.08919860890021723,0.006052696612742302,14.737003125587675,3.7297210231903e-49,69581,0.0063848534544781455,emergency,ses
const,0.0272745202348832,0.007685591395864813,3.5487861415008473,0.00038701125774880747,69581,0.010447916022112924,emergency,ses
ses_census_share_u15,-0.10698524961908347,0.005546486997283127,-19.28883087105203,6.666380386720694e-83,69581,0.010447916022112924,emergency,ses
