term,coef,se,t,p,n,r2,regime,model
const,1.4694233786619657,0.013577043191914802,108.22852648336678,0.0,23359,0.37941933187714005,everyday,density
ses_log10_density,-1.2598380340564381,0.012487651868417618,-100.88670370789889,0.0,23359,0.37941933187714005,everyday,density
const,0.0950449360037037,0.010404546731919295,9.134942487414929,6.544155067755018e-20,22714,0.06281852933053056,everyday,ses
ses_census_employment_share,0.4143319662168934,0.01720201585548282,24.086244873726983,3.483882147247271e-128,22714,0.06281852933053056,everyday,ses
const,0.21636917365483055,0.011163333957648692,19.3821285357662,1.0923400163574824e-83,22772,0.16295039130905997,everyday,ses
ses_census_foreign_born_share,-0.4695943109550928,0.01292259185721866,-36.3390189943029,3.9176887465621635e-289,22772,0.16295039130905997,everyday,ses
const,0.01440059754962602,0.009943191104477356,1.4482873152404283,0.14753671372465857,22772,0.02460951843935899,everyday,ses
ses_census_share_ge65,-0.21044743774347355,0.013382706676493347,-15.725326933536051,1.0142594837622894e-55,22772,0.02460951843935899,everyday,ses
const,0.000559794564511152,0.010098676482784818,0.05543246835022708,0.9557939295914178,22772,0.00023431476425883613,everyday,ses
ses_census_share_u15,-0.024246691472982397,0.016764410830205842,-1.446319331980048,0.14808765594501286,22772,0.00023431476425883613,everyday,ses
const,0.7337532812352036,0.017315593677597385,42.37528870780335,0.0,23359,0.0946075241356572,emergency,density
ses_log10_density,-0.6290973076497347,0.014678847019584244,-42.85740608989281,0.0,23359,0.0946075241356572,emergency,density
const,0.07094383484949282,0.009313069575564815,7.617664001526613,2.5830761488394008e-14,22714,0.034999280823857726,emergency,ses
ses_census_employment_share,0.3092673825674585,0.012057902457386537,25.64852250716332,4.391598950379186e-145,22714,0.034999280823857726,emergency,ses
const,0.15224915969824748,0.010265843733534143,14.83065237014219,9.282643074107157e-50,22772,0.08068158910339362,emergency,ses
ses_census_foreign_born_share,-0.3304321869622948,0.009657976776070148,-34.213396306876234,1.5284884077814003e-256,22772,0.08068158910339362,emergency,ses
const,-0.010547834781278617,0.00919449738328087,-1.1471899269294084,0.251303133794084,22772,0.01320288150757698,emergency,ses
ses_census_share_ge65,0.1541439371395545,0.011872062721382755,12.983753603485102,1.5128087661341079e-38,22772,0.01320288150757698,emergency,ses
const,-0.0006972999767661248,0.009602103253983342,-0.07261950411508608,0.9421089056584265,22772,0.000363564609881184,emergency,ses
ses_census_share_u15,0.030202539418253203,0.011599104071021533,2.6038683016655844,0.009217816951190184,22772,0.000363564609881184,emergency,ses
