term,coef,se,t,p,n,r2,regime,model
const,1.5749928693765773,0.01959737469465426,80.36754381219242,0.0,23781,0.3017287619368445,everyday,density
ses_log10_density,-0.9584478661699856,0.014382615907373743,-66.63932850202892,0.0,23781,0.3017287619368445,everyday,density
const,0.03532306702886915,0.017419093577976507,2.0278361139025733,0.04257697718430577,22905,0.01657980802302439,everyday,ses
ses_census_employment_share,0.33341470877237983,0.03145957656464789,10.598194419026237,3.037886111219459e-26,22905,0.01657980802302439,everyday,ses
const,0.2146257013785379,0.015972822858797347,13.436929920019026,3.6736430156641296e-41,23039,0.2294472199919807,everyday,ses
ses_census_foreign_born_share,-0.7627825674437935,0.021968374374792238,-34.72184852781158,3.688034754807224e-264,23039,0.2294472199919807,everyday,ses
const,0.026576091233873014,0.018108420601050956,1.4676095623894787,0.1422103090468174,23039,0.014529905842687318,everyday,ses
ses_census_share_ge65,0.2530146448578955,0.028370163581584628,8.918335776608986,4.733473990176345e-19,23039,0.014529905842687318,everyday,ses
const,0.027282212167802498,0.018243695642357453,1.4954323237261091,0.13480164989069301,23039,0.014056829529938142,everyday,ses
ses_census_share_u15,-0.24666773043796714,0.03167096407960934,-7.7884503237076625,6.783603218492968e-15,23039,0.014056829529938142,everyday,ses
const,1.226429519618346,0.02401860260816721,51.06165165500988,0.0,23781,0.18295518307134495,emergency,density
ses_log10_density,-0.7463327478754656,0.019389549336026945,-38.4914953380961,0.0,23781,0.18295518307134495,emergency,density
const,0.014327349682820963,0.01863549578858364,0.7688204191271419,0.4419999253867295,22905,0.002727686209941238,emergency,ses
ses_census_employment_share,0.13523596685626557,0.03292281146404527,4.107667627473299,3.9967469403537773e-05,22905,0.002727686209941238,emergency,ses
const,0.1420453108550496,0.017179827068103733,8.268145557691472,1.3605871787262402e-16,23039,0.10050163992118044,emergency,ses
ses_census_foreign_born_share,-0.5048309042739892,0.023550287374275544,-21.436294863451486,6.1304575914948945e-102,23039,0.10050163992118044,emergency,ses
const,-0.001584152085769429,0.019396945812702956,-0.08167018153610432,0.934908990810813,23039,5.162669634772854e-05,emergency,ses
ses_census_share_ge65,-0.015081739216451203,0.0313616917367411,-0.48089686433536755,0.6305898014779674,23039,5.162669634772854e-05,emergency,ses
const,0.004888508036970211,0.01944453169878845,0.251407856599334,0.8014987940511267,23039,0.00045131615666615943,emergency,ses
ses_census_share_u15,-0.04419865864580789,0.030506018934289583,-1.448850429845089,0.1473793569085484,23039,0.00045131615666615943,emergency,ses
