term,coef,se,t,p,n,r2,regime,model
const,2.039130177610077,0.009267863154902661,220.02161054043893,0.0,93248,0.4561310299558784,everyday,density
ses_log10_density,-1.7228088751564554,0.00731951483651673,-235.3720039696401,0.0,93248,0.4561310299558784,everyday,density
const,0.08330830721112291,0.004673148860078751,17.827017650304214,4.360704884227443e-71,83819,0.04190731409417625,everyday,ses
ses_census_employment_share,-0.5039484157607702,0.017651672798445896,-28.54961235204514,2.8402471603986268e-179,83819,0.04190731409417625,everyday,ses
const,-0.001084310613677839,0.003400817027107104,-0.31883826887334926,0.7498491571908643,84287,0.00023625240549352,everyday,ses
ses_census_foreign_born_share,0.02062275633954716,0.008528570803500985,2.4180788100019646,0.0156026971007414,84287,0.00023625240549352,everyday,ses
const,-0.0009020696854054473,0.004023781856303137,-0.2241845402211309,0.8226137124589163,84287,5.027595561979403e-06,everyday,ses
ses_census_share_ge65,-0.005598208411466161,0.014515027419635255,-0.3856836263287498,0.699730990681499,84287,5.027595561979403e-06,everyday,ses
const,0.04980200806026588,0.0032780340285129875,15.192645234026912,3.9562671455039206e-52,84287,0.03397183826874883,everyday,ses
ses_census_share_u15,0.37913571399519597,0.010229569930990967,37.06272272958283,1.1204048851470933e-300,84287,0.03397183826874883,everyday,ses
const,1.726362359150918,0.010474198975218299,164.82046629393326,0.0,93248,0.32693666666604904,emergency,density
ses_log10_density,-1.458559353756945,0.007911024063355738,-184.37048630822213,0.0,93248,0.32693666666604904,emergency,density
const,0.06465707256070834,0.004628276293258307,13.970011396011483,2.375886463041496e-44,83819,0.025243250801854744,emergency,ses
ses_census_employment_share,-0.3911234110437882,0.016402122585744944,-23.845902199494162,1.1167872923739546e-125,83819,0.025243250801854744,emergency,ses
const,-0.002399712510378104,0.0032861827126923274,-0.7302431788438356,0.4652415535557519,84287,0.0011571435866777335,emergency,ses
ses_census_foreign_born_share,0.0456406916636461,0.0040636186913157925,11.231538963334113,2.854626054772509e-29,84287,0.0011571435866777335,emergency,ses
const,0.03623445627912826,0.004065772259382348,8.912072287254187,5.008745981357451e-19,84287,0.008111919929246536,emergency,ses
ses_census_share_ge65,0.22486958735959595,0.0100207462460632,22.44040332304985,1.5879822959499065e-111,84287,0.008111919929246536,emergency,ses
const,0.03016820700368333,0.0032629637438746474,9.24564579067609,2.338244078725603e-20,84287,0.012465920076133674,emergency,ses
ses_census_share_u15,0.2296663357119117,0.0067336791344510495,34.10711011412557,5.786707832179957e-255,84287,0.012465920076133674,emergency,ses
