term,coef,se,t,p,n,r2,regime,model
const,1.5827455358984517,0.0074052804726849695,213.73201754296116,0.0,143208,0.3285617412695945,everyday,density
ses_log10_density,-1.2557165416515692,0.005737423331415739,-218.8641954962237,0.0,143208,0.3285617412695945,everyday,density
const,-0.002186660884357689,0.004156117869251424,-0.5261306231316143,0.5987974529683974,131526,0.00036223355021935966,everyday,ses
ses_census_employment_share,-0.03808991779126734,0.008714572624834278,-4.370830266847616,1.237749830809535e-05,131526,0.00036223355021935966,everyday,ses
const,0.14760577800688326,0.004680675969307177,31.535141286170155,2.8664816737124264e-218,132732,0.07893533771607686,everyday,ses
ses_census_foreign_born_share,-0.35140087052900826,0.005613907073690071,-62.594707378729254,0.0,132732,0.07893533771607686,everyday,ses
const,0.009027039345920368,0.003996253124290948,2.2588757681664693,0.023891113709441383,132732,0.016833444488735694,everyday,ses
ses_census_share_ge65,-0.27955733607979383,0.011505481537926947,-24.29775191575027,2.0705745223354935e-130,132732,0.016833444488735694,everyday,ses
const,0.019434576393827525,0.0038818938086481874,5.006467809740352,5.543792779595374e-07,132732,0.020483432783989453,everyday,ses
ses_census_share_u15,0.3017424224650698,0.010129108572528423,29.789632553000565,5.322344093622166e-195,132732,0.020483432783989453,everyday,ses
const,1.0854806020451655,0.007289104183882718,148.91824491208712,0.0,143208,0.1545392963996559,emergency,density
ses_log10_density,-0.8611971518569309,0.005530116908298641,-155.72856164479913,0.0,143208,0.1545392963996559,emergency,density
const,-0.004024495458814443,0.004283663157493351,-0.9394985812025044,0.3474748203453656,131526,0.0012270116417032462,emergency,ses
ses_census_employment_share,-0.07010355481919785,0.02274802850227674,-3.0817419985288623,0.0020579312179410574,131526,0.0012270116417032462,emergency,ses
const,0.10984520228036976,0.006073211894308839,18.086838429481585,4.046449766672672e-73,132732,0.04371464348577714,emergency,ses
ses_census_foreign_born_share,-0.26150534366586153,0.017470555232870673,-14.968347610031413,1.1822221852529662e-50,132732,0.04371464348577714,emergency,ses
const,0.008986193889020678,0.004814737717691872,1.8663932317643575,0.06198636935986117,132732,0.016681453531180446,emergency,ses
ses_census_share_ge65,-0.2782923978553824,0.0130218100609488,-21.37125304030931,2.4740351015609634e-101,132732,0.016681453531180446,emergency,ses
const,0.013802076320945307,0.004281512266558988,3.223645165925896,0.0012657012786022992,132732,0.010330977895756543,emergency,ses
ses_census_share_u15,0.21429188163074545,0.014073721460493006,15.226383599554254,2.3630598327166828e-52,132732,0.010330977895756543,emergency,ses
