term,coef,se,t,p,n,r2,regime,model
const,1.3320894385789719,0.005503044045659204,242.0641062521974,0.0,208556,0.313222977505758,everyday,density
ses_log10_density,-1.2799752394132644,0.004998628088238874,-256.0653076840985,0.0,208556,0.313222977505758,everyday,density
const,0.19766115105093382,0.0032842817730953816,60.18398076260108,0.0,192471,0.09606775501466769,everyday,ses
ses_census_foreign_born_share,-0.3392021618129731,0.0040143505691650145,-84.49739402892438,0.0,192471,0.09606775501466769,everyday,ses
const,0.03240629898256894,0.002578393497299951,12.568407039695167,3.150069832850128e-36,192471,0.019144570509780356,everyday,ses
ses_census_share_ge65,0.19534379406921865,0.003706148489312128,52.708032242247,0.0,192471,0.019144570509780356,everyday,ses
const,0.0019401723006029902,0.0026708931709028207,0.7264132919053327,0.4675854451769378,192471,0.0008239617031762236,everyday,ses
ses_census_share_u15,-0.05634739677642216,0.006571586761000655,-8.574397451589324,9.960689061074112e-18,192471,0.0008239617031762236,everyday,ses
const,1.0576757972937556,0.005839150127515928,181.13522930497226,0.0,208556,0.19746583985393729,emergency,density
ses_log10_density,-1.016297249009703,0.00490930665666662,-207.01441569750315,0.0,208556,0.19746583985393729,emergency,density
const,0.2089537277640651,0.0029441999617076165,70.97130985725349,0.0,192471,0.10735820672195373,emergency,ses
ses_census_foreign_born_share,-0.3585811162163399,0.0029528726972364626,-121.43466819681362,0.0,192471,0.10735820672195373,emergency,ses
const,0.02728132815908513,0.002581468531903207,10.568142831077536,4.187039515924966e-26,192471,0.013568060705277163,emergency,ses
ses_census_share_ge65,0.16445068758730183,0.0032427343048839715,50.71358678372697,0.0,192471,0.013568060705277163,emergency,ses
const,-0.0017933047691897246,0.0025196785360922166,-0.7117196672123781,0.4766383864473158,192471,0.0007039383625909723,emergency,ses
ses_census_share_u15,0.052082000830125166,0.005107339219892171,10.197482208989586,2.0347903903517197e-24,192471,0.0007039383625909723,emergency,ses
