term,coef,se,t,p,n,r2,regime,model
const,1.8211155752786028,0.012336318068129366,147.62229420652008,0.0,46681,0.4581503152110111,everyday,density
ses_log10_density,-1.1032570401780504,0.007492704740795253,-147.24416326873092,0.0,46681,0.4581503152110111,everyday,density
const,0.02549813442036329,0.009091621386172255,2.804575040833117,0.005038295807409697,44120,0.008300567153761373,everyday,ses
ses_census_employment_share,0.2023231486503791,0.026156472414113452,7.735108368099745,1.0331506197749511e-14,44120,0.008300567153761373,everyday,ses
const,0.18108057563708158,0.012014261402604776,15.072135487065568,2.4699848888141385e-51,44637,0.07745889034070919,everyday,ses
ses_census_foreign_born_share,-0.44433549012327384,0.020695732096103987,-21.46990925761553,2.9759884151899154e-102,44637,0.07745889034070919,everyday,ses
const,-0.0016742624946415518,0.00868487113722164,-0.19277919823887701,0.8471318952959864,44637,0.0015422153789069748,everyday,ses
ses_census_share_ge65,-0.0719576829709613,0.020195190501770786,-3.5631098882009455,0.00036648717227667294,44637,0.0015422153789069748,everyday,ses
const,0.0007544451989523976,0.008883053025776974,0.08493084492044992,0.9323163696724709,44637,0.00026045887698888937,everyday,ses
ses_census_share_u15,-0.03307111596717397,0.019919566638357443,-1.6602327032301842,0.09686764802875315,44637,0.00026045887698888937,everyday,ses
const,1.1855216628422711,0.012909865940059178,91.83067185567047,0.0,46681,0.1941565116622811,emergency,density
ses_log10_density,-0.718205444272383,0.008320119547761472,-86.3215294142758,0.0,46681,0.1941565116622811,emergency,density
const,-0.005357270356203446,0.008838207889274923,-0.6061489414278702,0.5444158542628252,44120,0.00036641908200385487,emergency,ses
ses_census_employment_share,-0.04250898472685048,0.014104933102236329,-3.0137671989462116,0.0025802571664699458,44120,0.00036641908200385487,emergency,ses
const,0.14022241463931412,0.009637665974162414,14.549416322918423,5.890348170430816e-48,44637,0.04644750831172573,emergency,ses
ses_census_foreign_born_share,-0.3440777406180813,0.015094687293206063,-22.794625283356915,5.184032661761372e-115,44637,0.04644750831172573,emergency,ses
const,-0.0014337226455477543,0.008604860265423907,-0.1666177719711203,0.8676708091652126,44637,0.0011309104630888855,emergency,ses
ses_census_share_ge65,-0.06161958469881829,0.011368943288916586,-5.419992266026194,5.960161380539394e-08,44637,0.0011309104630888855,emergency,ses
const,-0.0023727064014160432,0.008557670331145531,-0.2772607858917641,0.7815798679268395,44637,0.002576153692177674,emergency,ses
ses_census_share_u15,0.10400761866635205,0.014227774013774995,7.310182082288792,2.667806282860793e-13,44637,0.002576153692177674,emergency,ses
