term,coef,se,t,p,n,r2,regime,model
const,1.7346459096374127,0.013983357883402742,124.05074118115184,0.0,14482,0.5961091292411025,everyday,density
ses_log10_density,-1.4461875564306361,0.013506763025885061,-107.07136518639494,0.0,14482,0.5961091292411025,everyday,density
const,0.49957829433018064,0.012459954388396352,40.094712930524494,0.0,11704,0.40156698632700427,everyday,ses
ses_census_employment_share,-0.8774993557262171,0.013243759668276251,-66.25757169455103,0.0,11704,0.40156698632700427,everyday,ses
const,0.008012049466847526,0.014350702869709298,0.5583036273267796,0.5766370684246884,11772,0.0028336293053307093,everyday,ses
ses_census_foreign_born_share,0.10592994350301933,0.011135033369898772,9.513212936512495,1.848628402218243e-21,11772,0.0028336293053307093,everyday,ses
const,0.06729934026222856,0.014009688233014742,4.803771443224075,1.5570455743334921e-06,11772,0.066554661410412,everyday,ses
ses_census_share_ge65,-0.42973245421297834,0.028872264319409174,-14.883919371855216,4.1920495710615566e-50,11772,0.066554661410412,everyday,ses
const,0.14325182347289,0.013403802436981443,10.687401888113067,1.165913254211142e-26,11772,0.11198217559198809,everyday,ses
ses_census_share_u15,0.5352080099781622,0.01855142592966792,28.849966143154727,5.0718251483925e-183,11772,0.11198217559198809,everyday,ses
const,1.3363810286749753,0.018964024148753193,70.46927478010183,0.0,14482,0.3538056009221807,emergency,density
ses_log10_density,-1.1141510803917896,0.011825156677132577,-94.21871614997954,0.0,14482,0.3538056009221807,emergency,density
const,0.49557706029824067,0.015787841828398368,31.389791314403837,2.7887523041384037e-216,11704,0.3951602667145102,emergency,ses
ses_census_employment_share,-0.8704712675867106,0.017365615962920578,-50.1261383094823,0.0,11704,0.3951602667145102,emergency,ses
const,-0.005322783745656423,0.010981279062456575,-0.4847143684613444,0.6278789727577009,11772,0.001250643226600734,emergency,ses
ses_census_foreign_born_share,-0.07037427611864422,0.010287849279222251,-6.840523632162351,7.890422905270693e-12,11772,0.001250643226600734,emergency,ses
const,0.04714867695486746,0.011676902728785453,4.037772519817121,5.3961141017139433e-05,11772,0.03266599457251862,emergency,ses
ses_census_share_ge65,-0.3010626342214189,0.018471404289679902,-16.298849264515564,1.0056774764880752e-59,11772,0.03266599457251862,emergency,ses
const,0.08250696773799954,0.01213686577100977,6.798045664728075,1.0604784548049224e-11,11772,0.037147520904900144,emergency,ses
ses_census_share_u15,0.3082570884044903,0.018801943367564588,16.394958881551975,2.0778124470079835e-60,11772,0.037147520904900144,emergency,ses
