term,coef,se,t,p,n,r2,regime,model
const,1.0816164818884726,0.00821786900845495,131.61763478775973,0.0,65872,0.29323288812839876,everyday,density
ses_log10_density,-1.0997432022251454,0.008286837477552421,-132.70963804999863,0.0,65872,0.29323288812839876,everyday,density
const,0.04425092262650312,0.0058166281337108435,7.607658871991923,2.7910533205831648e-14,57880,0.061097009635306065,everyday,ses
ses_census_employment_share,-0.38416318727519916,0.014295634199477068,-26.872762824978537,4.572473332640312e-159,57880,0.061097009635306065,everyday,ses
const,0.007043309133439799,0.006214890562710172,1.1332957615859245,0.2570900710612942,58106,0.00789603384722859,everyday,ses
ses_census_foreign_born_share,-0.11614532137061141,0.010765295119117137,-10.788865524397858,3.8855631311551686e-27,58106,0.00789603384722859,everyday,ses
const,0.04194412792047528,0.0060859495196774055,6.891961194364061,5.502838690364938e-12,58106,0.03966505114695562,everyday,ses
ses_census_share_ge65,-0.2880319501731916,0.010341835207500616,-27.851144830106254,1.0432920618980086e-170,58106,0.03966505114695562,everyday,ses
const,0.0043643427466388334,0.006143204165807231,0.7104342666861941,0.477434879995532,58106,0.0013155302992035045,everyday,ses
ses_census_share_u15,0.05213204859934026,0.007737872739696485,6.73725846276778,1.614029296386201e-11,58106,0.0013155302992035045,everyday,ses
const,0.5491137691825008,0.009170466122432504,59.878501468892196,0.0,65872,0.07557719210085534,emergency,density
ses_log10_density,-0.5583163210053139,0.012534220068084271,-44.54336352582063,0.0,65872,0.07557719210085534,emergency,density
const,0.025453947268766885,0.007203538977287938,3.533533635206351,0.00041004391157224533,57880,0.020215550593757126,emergency,ses
ses_census_employment_share,-0.2209777543857975,0.011608473892737541,-19.035900535043194,8.600144728705067e-81,57880,0.020215550593757126,emergency,ses
const,0.0029626229840443983,0.00708775550956269,0.4179917013287596,0.6759531847080944,58106,0.001397038184285715,emergency,ses
ses_census_foreign_born_share,-0.04885413831236156,0.012554592256800255,-3.8913361193311142,9.969371444149304e-05,58106,0.001397038184285715,emergency,ses
const,0.025616903272073676,0.008412218379811364,3.045201885575409,0.002325241688203691,58106,0.014795135161487671,emergency,ses
ses_census_share_ge65,-0.17591226645223867,0.012312370004938839,-14.287441522767372,2.6206152932506175e-46,58106,0.014795135161487671,emergency,ses
const,0.0019675514374807917,0.0082214289296582,0.23931988639870067,0.8108575462606855,58106,0.0002673716432518569,emergency,ses
ses_census_share_u15,0.02350239042051682,0.015818785829887872,1.4857265705002223,0.13735145958002867,58106,0.0002673716432518569,emergency,ses
