term,coef,se,t,p,n,r2,regime,model
const,1.2898690811345175,0.008333565254567845,154.77998212439826,0.0,53262,0.36112381935721394,everyday,density
ses_log10_density,-1.2260465273368386,0.006679833482001396,-183.54447466997237,0.0,53262,0.36112381935721394,everyday,density
const,0.0055030276927545765,0.006991430651756054,0.7871103879679286,0.431217248880878,49248,0.006947981084858723,everyday,ses
ses_census_employment_share,-0.12825020467500645,0.011474072524935677,-11.177391845510007,5.261356685029439e-29,49248,0.006947981084858723,everyday,ses
const,0.08950001639520738,0.00694234067149206,12.891907878092056,4.99915611730095e-38,49558,0.09211958473481141,everyday,ses
ses_census_foreign_born_share,-0.3390355475898681,0.01449580125052989,-23.388534495633674,5.591045246993807e-121,49558,0.09211958473481141,everyday,ses
const,0.002635047470561717,0.00696165814500623,0.378508598910721,0.7050528071089606,49558,0.0033716543286622658,everyday,ses
ses_census_share_ge65,-0.08765012028058655,0.009599763082348781,-9.130446192130517,6.821754937004976e-20,49558,0.0033716543286622658,everyday,ses
const,0.05596439509269697,0.00647805686466174,8.639071292811076,5.667180469795306e-18,49558,0.05834356926157569,everyday,ses
ses_census_share_u15,0.3747468766954865,0.010397125265444831,36.0433165060509,1.7551475945098895e-284,49558,0.05834356926157569,everyday,ses
const,1.0975536858307586,0.00922735420396374,118.94565457986744,0.0,53262,0.26146671760286333,emergency,density
ses_log10_density,-1.043246872694217,0.00877824761313218,-118.8445483280204,0.0,53262,0.26146671760286333,emergency,density
const,0.008495117913687096,0.007346050697116049,1.1564197231884277,0.24750951798435106,49248,0.016557472922895444,emergency,ses
ses_census_employment_share,-0.19798203316388063,0.013523002890915578,-14.64038976852398,1.5517610286082508e-48,49248,0.016557472922895444,emergency,ses
const,0.12293867997288328,0.006611681491365531,18.594162488533968,3.582647652474575e-77,49558,0.17381323117034186,emergency,ses
ses_census_foreign_born_share,-0.4657047491537004,0.01606883438493932,-28.981862529505374,1.1138591395622305e-184,49558,0.17381323117034186,emergency,ses
const,-0.0016162644617034145,0.007184280814483206,-0.22497233939479283,0.8220007926643093,49558,0.0012685015547081457,emergency,ses
ses_census_share_ge65,0.05376213372100457,0.009049271878575167,5.941045251197555,2.832104165298604e-09,49558,0.0012685015547081457,emergency,ses
const,0.05703065311229723,0.006462671217240945,8.824625483059132,1.0982672649720888e-18,49558,0.06058792186588324,emergency,ses
ses_census_share_u15,0.38188671733764595,0.00936218346526855,40.79034754599222,0.0,49558,0.06058792186588324,emergency,ses
