term,coef,se,t,p,n,r2,regime,model
const,1.082251787576454,0.004383887488610068,246.87033834428698,0.0,239039,0.3079154203802543,everyday,density
ses_log10_density,-0.931713326725497,0.0036432542499506347,-255.73656484120522,0.0,239039,0.3079154203802543,everyday,density
const,0.24674681776879082,0.003261743888856302,75.64874072786571,0.0,236358,0.16075617659893793,everyday,ses
ses_census_employment_share,0.33082466061713905,0.0024935162666893315,132.67395325893685,0.0,236358,0.16075617659893793,everyday,ses
const,0.3645569457791472,0.0033579599426717954,108.56500732676511,0.0,236404,0.24344468750987747,everyday,ses
ses_census_foreign_born_share,-0.3044663982510654,0.0015793324155681135,-192.7817065298084,0.0,236404,0.24344468750987747,everyday,ses
const,0.06775286536054281,0.0030884290825454338,21.937646469998263,1.13631527539347e-106,236404,0.03152067265416503,everyday,ses
ses_census_share_ge65,0.18761575232314007,0.0031927903859742747,58.7623143527756,0.0,236404,0.03152067265416503,everyday,ses
const,0.02518240657938314,0.0034102372447101454,7.384356211124405,1.5319280864260466e-13,236404,0.008855607649047914,everyday,ses
ses_census_share_u15,-0.10205407391412244,0.003973222219974779,-25.685468434426063,1.6988768262011938e-145,236404,0.008855607649047914,everyday,ses
const,0.46960060376637386,0.004771904355118086,98.40947529945893,0.0,239039,0.05797384545746498,emergency,density
ses_log10_density,-0.4042803585912871,0.0037731990018524705,-107.14525218330749,0.0,239039,0.05797384545746498,emergency,density
const,0.14540096224639118,0.003152106474450053,46.128188696975805,0.0,236358,0.05582119236199823,emergency,ses
ses_census_employment_share,0.1949456711277262,0.0021509112734970047,90.63399012771862,0.0,236358,0.05582119236199823,emergency,ses
const,0.23790719068945684,0.0029892762547683786,79.58688672883827,0.0,236404,0.1036775402188963,emergency,ses
ses_census_foreign_born_share,-0.1986925398237514,0.001409008397399674,-141.01586632871644,0.0,236404,0.1036775402188963,emergency,ses
const,0.07460809718127318,0.0034971492964768966,21.333975434344474,5.4934860552801643e-101,236404,0.03822188229449908,emergency,ses
ses_census_share_ge65,0.2065987055687583,0.0029744864989736724,69.45693168889618,0.0,236404,0.03822188229449908,emergency,ses
const,0.011682916382383578,0.003508018989057439,3.3303458216235686,0.0008673818423582128,236404,0.0019060155542243162,emergency,ses
ses_census_share_u15,-0.0473461187381675,0.0028925215658957724,-16.368458336283858,3.2124879418497416e-60,236404,0.0019060155542243162,emergency,ses
