term,coef,se,t,p,n,r2,regime,model
const,1.6008813248254263,0.004361032977862061,367.08764481992915,0.0,169986,0.5823005077190461,everyday,density
ses_log10_density,-1.226396931568859,0.0034687393833599993,-353.55695427913867,0.0,169986,0.5823005077190461,everyday,density
const,0.48653737763325866,0.004331704649068186,112.32007190008213,0.0,156652,0.44553914076015255,everyday,ses
ses_census_employment_share,-0.8529469963782189,0.0051175266543999854,-166.67172522586975,0.0,156652,0.44553914076015255,everyday,ses
const,0.011973577556184225,0.005553360081997012,2.156096017436434,0.03107616842565443,156985,0.006912139971843256,everyday,ses
ses_census_foreign_born_share,-0.08550759956543326,0.025790539450208705,-3.3154637858783254,0.000914911945138563,156985,0.006912139971843256,everyday,ses
const,0.005477853417023358,0.005055173388853528,1.0836133591583277,0.27853626507978446,156985,0.0012919831105582258,everyday,ses
ses_census_share_ge65,0.052031715349217224,0.005976379222506907,8.70622720078856,3.14156804530091e-18,156985,0.0012919831105582258,everyday,ses
const,0.00908937719101565,0.0046239343638394695,1.9657236621041294,0.04933053999359155,156985,0.01396710499011411,everyday,ses
ses_census_share_u15,0.15215867425685592,0.0055522212701277695,27.405009068263304,2.3903387034617233e-165,156985,0.01396710499011411,everyday,ses
const,0.954284124153991,0.005669848661540938,168.30857067261437,0.0,169986,0.2069113382569543,emergency,density
ses_log10_density,-0.7310542658962881,0.0034847235693904544,-209.78830927015645,0.0,169986,0.2069113382569543,emergency,density
const,0.4324928784127937,0.005438436656572139,79.52522125823474,0.0,156652,0.3520556869654393,emergency,ses
ses_census_employment_share,-0.7582017714479206,0.006330243403344118,-119.77450520265627,0.0,156652,0.3520556869654393,emergency,ses
const,0.01501839311111951,0.004029965309731052,3.7266804939623146,0.00019401814865045779,156985,0.010874557570099697,emergency,ses
ses_census_foreign_born_share,-0.10725171639270209,0.01637274950972932,-6.550623420273362,5.7297379598754755e-11,156985,0.010874557570099697,emergency,ses
const,0.04262658729201472,0.004155156496822343,10.258720056540207,1.0813043339168156e-24,156985,0.07823429104277535,emergency,ses
ses_census_share_ge65,0.4048911658340635,0.005574181094196818,72.6368876417719,0.0,156985,0.07823429104277535,emergency,ses
const,-0.00836917828328941,0.0036136322553128233,-2.3160016548404734,0.020558178336916675,156985,0.01184141997503263,emergency,ses
ses_census_share_u15,-0.1401023464471581,0.004537527094349952,-30.876365812032518,2.4805318103914355e-209,156985,0.01184141997503263,emergency,ses
