term,coef,se,t,p,n,r2,regime,model
const,1.1501667588758273,0.005549878298484227,207.24179829131728,0.0,169968,0.32099890268178366,everyday,density
ses_log10_density,-1.1410635423010445,0.005372131821952075,-212.40423357415224,0.0,169968,0.32099890268178366,everyday,density
const,0.056742409139496054,0.003735290911918347,15.190894224180962,4.063384152908007e-52,153787,0.042566349130582215,everyday,ses
ses_census_employment_share,-0.368123485797664,0.00868313176047113,-42.3952435541172,0.0,153787,0.042566349130582215,everyday,ses
const,0.05782423126114915,0.0032469702412954832,17.80867299790167,6.052788495791069e-71,154679,0.04436416136691512,everyday,ses
ses_census_foreign_born_share,-0.2399422442132502,0.006611679805079164,-36.290663082160144,2.2711438583835273e-288,154679,0.04436416136691512,everyday,ses
const,0.05327698871747725,0.0038252727617724713,13.927631318188908,4.3039385714749486e-44,154679,0.038744052877155544,everyday,ses
ses_census_share_ge65,-0.30142805986392995,0.009849772097096235,-30.60254155045806,1.132276289798592e-205,154679,0.038744052877155544,everyday,ses
const,0.08744393704609575,0.003454180268676334,25.315394751995637,2.1622168087999152e-141,154679,0.05534997966979327,everyday,ses
ses_census_share_u15,0.3830104643984836,0.008585190751845755,44.61292421675535,0.0,154679,0.05534997966979327,everyday,ses
const,0.9582493853648286,0.005680640803082802,168.68684688614715,0.0,169968,0.22281222875839402,emergency,density
ses_log10_density,-0.9506651358459538,0.004719778505145044,-201.4215571365544,0.0,169968,0.22281222875839402,emergency,density
const,0.06763098210477765,0.0039981183801746055,16.915702756611243,3.44680465786091e-64,153787,0.060470317542887564,emergency,ses
ses_census_employment_share,-0.4387644666112824,0.010508170008292256,-41.75460296750457,0.0,153787,0.060470317542887564,emergency,ses
const,0.07530495266073442,0.0030604166053094907,24.606111641823045,1.0865648737606492e-133,154679,0.07524187689301176,emergency,ses
ses_census_foreign_born_share,-0.31247867801623963,0.00586952738868236,-53.23745121604883,0.0,154679,0.07524187689301176,emergency,ses
const,0.01923126246595669,0.0032309059685588595,5.952281698416238,2.644297187824816e-09,154679,0.005048255173299099,emergency,ses
ses_census_share_ge65,-0.10880573908911105,0.004458588520309953,-24.403628770287835,1.565027262431885e-131,154679,0.005048255173299099,emergency,ses
const,0.08016476317714694,0.003197075263401478,25.074406003147043,9.46107942201577e-139,154679,0.04651843416338941,emergency,ses
ses_census_share_u15,0.3511271817128732,0.007228927340252169,48.572515006164764,0.0,154679,0.04651843416338941,emergency,ses
