term,coef,se,t,p,n,r2,regime,model
const,1.8508109221311482,0.060675544347174634,30.503408614534028,2.3482931923954303e-204,10765,0.1859442371882687,everyday,density
ses_log10_density,-1.5829015739340773,0.05500955788963274,-28.775028098024315,4.405538586132499e-182,10765,0.1859442371882687,everyday,density
const,-0.07090393208191789,0.01928254604940175,-3.677104252740406,0.00023589664826399775,10033,0.03233766408873018,everyday,ses
ses_census_employment_share,-0.7217535336790138,0.1016193312493641,-7.1025219788929705,1.2250054072376987e-12,10033,0.03233766408873018,everyday,ses
const,-0.001298625045938917,0.023041972954161508,-0.05635910815980617,0.955055732111149,10092,6.678552421091055e-06,everyday,ses
ses_census_foreign_born_share,-0.008473609460288922,0.10680852455515932,-0.07933458022737576,0.9367665019280359,10092,6.678552421091055e-06,everyday,ses
const,-0.021337754059886693,0.015592043557981196,-1.36850272259305,0.1711547703714006,10092,0.03673586461827305,everyday,ses
ses_census_share_ge65,-0.440490248277439,0.04251419744968587,-10.36101525375716,3.729818260803726e-25,10092,0.03673586461827305,everyday,ses
const,-0.014141951306145414,0.019278056128580676,-0.7335776601033581,0.46320618049550577,10092,0.00210161463552061,everyday,ses
ses_census_share_u15,0.11062530582959396,0.047375824706644296,2.3350581549682055,0.019540382919034895,10092,0.00210161463552061,everyday,ses
const,0.31264652771706863,0.07656457844719132,4.083435631173879,4.4374724862730825e-05,10765,0.0053059827677498506,emergency,density
ses_log10_density,-0.2673901882092432,0.07220031034219591,-3.7034492918650623,0.00021268771047660255,10765,0.0053059827677498506,emergency,density
const,0.09293141301818297,0.017825664801658675,5.213349070130373,1.8546143333711179e-07,10033,0.05555115411090383,emergency,ses
ses_census_employment_share,0.9459782238616224,0.06889150473707348,13.73142054992088,6.583001368744702e-43,10033,0.05555115411090383,emergency,ses
const,-0.0038612853914633816,0.018591569039761793,-0.20769013003718242,0.8354709247329535,10092,5.904438369552789e-05,emergency,ses
ses_census_foreign_born_share,-0.025195128127482647,0.03804423237255113,-0.6622588118156092,0.5078053686348662,10092,5.904438369552789e-05,emergency,ses
const,0.007578025561298649,0.018070979379059864,0.41934780635519114,0.6749619629102999,10092,0.0046334554036581155,emergency,ses
ses_census_share_ge65,0.15643850573873788,0.039382257071016474,3.9723092929041237,7.117921640058708e-05,10092,0.0046334554036581155,emergency,ses
const,0.03602809264407508,0.018994107062014032,1.8968037047725717,0.057853850194984596,10092,0.013640081045486308,emergency,ses
ses_census_share_u15,-0.2818294788977207,0.04144592607294888,-6.7999319981817585,1.0466854469894657e-11,10092,0.013640081045486308,emergency,ses
