term,coef,se,t,p,n,r2,regime,model
const,1.0220064237114328,0.010612103594142724,96.30573379207512,0.0,34609,0.2853579089401158,everyday,density
ses_log10_density,-1.077953233574751,0.009856492145433516,-109.36479405344666,0.0,34609,0.2853579089401158,everyday,density
const,0.14707350258766605,0.007506837203410437,19.59193980133857,1.8115489353940205e-85,33778,0.12583786184283452,everyday,ses
ses_census_foreign_born_share,-0.28700812734207215,0.007441874135731063,-38.56664626509133,0.0,33778,0.12583786184283452,everyday,ses
const,-0.003408220574835945,0.007209026536239174,-0.47277126220899657,0.636376378872257,33778,0.0022649233391830448,everyday,ses
ses_census_share_ge65,-0.053202351805807055,0.008336238212753495,-6.38205752378975,1.747243015239839e-10,33778,0.0022649233391830448,everyday,ses
const,-0.0005457779857405463,0.007208122595336081,-0.07571707868754682,0.9396441881711096,33778,0.0002478207275807831,everyday,ses
ses_census_share_u15,0.022010179190729895,0.011217613610835932,1.9621088721997535,0.049749810229218205,33778,0.0002478207275807831,everyday,ses
const,0.8366128846490988,0.010494880972152665,79.7162813822267,0.0,34609,0.19121931608571263,emergency,density
ses_log10_density,-0.8824108570499863,0.011647422539798209,-75.76018248113407,0.0,34609,0.19121931608571263,emergency,density
const,0.17614137780645733,0.0076637813761580445,22.983612026620644,6.799084779470866e-117,33778,0.18049502586153987,emergency,ses
ses_census_foreign_born_share,-0.3437329369479732,0.006951638082710622,-49.446322270842806,0.0,33778,0.18049502586153987,emergency,ses
const,0.014912972499939945,0.007974614014514974,1.8700557133920381,0.06147608153133077,33778,0.04336372217419182,emergency,ses
ses_census_share_ge65,0.2327916260086316,0.009810924462008184,23.727797203015243,1.8629561097920554e-124,33778,0.04336372217419182,emergency,ses
const,0.003612180718508314,0.008457071525012141,0.4271195658952557,0.6692922425535612,33778,0.010855367718547115,emergency,ses
ses_census_share_u15,-0.1456723190763861,0.012564603929674657,-11.593864788076775,4.426964573094931e-31,33778,0.010855367718547115,emergency,ses
