term,coef,se,t,p,n,r2,regime,model
const,1.5082766679617432,0.028639836917772617,52.66359135675711,0.0,21610,0.2512488961407241,everyday,density
ses_log10_density,-1.057871390085113,0.025802381316383034,-40.99898288897178,0.0,21610,0.2512488961407241,everyday,density
const,0.10827832665363675,0.01938427256542479,5.5858854794876285,2.325124246724784e-08,20931,0.09701370699220868,everyday,ses
ses_census_employment_share,-0.4816088130341279,0.029407400311151993,-16.3771298359716,2.785822798361494e-60,20931,0.09701370699220868,everyday,ses
const,-0.0035143221674597096,0.0194977186875563,-0.18024273627983955,0.8569620090992397,21056,0.01483482795871327,everyday,ses
ses_census_foreign_born_share,-0.20994285420948539,0.02779397408412163,-7.5535385322757165,4.235891154494657e-14,21056,0.01483482795871327,everyday,ses
const,0.029415663794338232,0.018219181757036875,1.6145436269648548,0.10640956184006356,21056,0.03412826054507867,everyday,ses
ses_census_share_ge65,-0.3219079749039774,0.02987236388470191,-10.776113204379895,4.463498362068388e-27,21056,0.03412826054507867,everyday,ses
const,0.005066249995206349,0.019361750394790534,0.26166280898701555,0.7935814158636616,21056,0.004921686442258211,everyday,ses
ses_census_share_u15,0.11513731914001162,0.024532903866966802,4.69317940364338,2.689913972902108e-06,21056,0.004921686442258211,everyday,ses
const,1.1705511538051696,0.029617731499822313,39.52197195832477,0.0,21610,0.15132926803071556,emergency,density
ses_log10_density,-0.820998297291844,0.02498716996050797,-32.85679405028363,9.109659656818323e-237,21610,0.15132926803071556,emergency,density
const,0.14421401255582625,0.01860705113766862,7.750503370406474,9.152898986576392e-15,20931,0.1720936913036103,emergency,ses
ses_census_employment_share,-0.6414463684138144,0.03848191128253,-16.66877623890313,2.210744226030753e-62,20931,0.1720936913036103,emergency,ses
const,-0.0004813134843468375,0.016891711176837847,-0.028494063112257176,0.9772681030583965,21056,0.0002782629776157952,emergency,ses
ses_census_foreign_born_share,-0.02875329063708669,0.027315335740443605,-1.0526427685277915,0.2925047478580981,21056,0.0002782629776157952,emergency,ses
const,-0.013312230874505282,0.01581922527718032,-0.8415223022146698,0.4000553963321879,21056,0.006989699891918111,emergency,ses
ses_census_share_ge65,0.14568133876655773,0.037163581567565274,3.9200026644822077,8.854798963188945e-05,21056,0.006989699891918111,emergency,ses
const,-0.011535276164001303,0.01670491916440629,-0.6905316961113999,0.48985988451232976,21056,0.025515066326672886,emergency,ses
ses_census_share_u15,-0.2621546063300278,0.031010858200410513,-8.4536391942406,2.823609587279722e-17,21056,0.025515066326672886,emergency,ses
