term,coef,se,t,p,n,r2,regime,model
const,1.196632904966203,0.009692832555555713,123.45543968778456,0.0,75499,0.2884653926045281,everyday,density
ses_log10_density,-1.0004659267504799,0.009638331440859944,-103.80073904796295,0.0,75499,0.2884653926045281,everyday,density
const,0.11099918022200421,0.007893998399875193,14.061211391144841,6.575098712542424e-45,72235,0.051239773383254916,everyday,ses
ses_census_employment_share,0.33204217265809133,0.011918153767090043,27.86020210403472,8.103900333393288e-171,72235,0.051239773383254916,everyday,ses
const,0.11454481826664355,0.007664951676896707,14.943971351039107,1.7050367810618834e-50,72565,0.060823421293576874,everyday,ses
ses_census_foreign_born_share,-0.21964940820561563,0.006319677595557203,-34.756426239216914,1.108380733930645e-264,72565,0.060823421293576874,everyday,ses
const,0.019576348739297332,0.007093085896322947,2.7599198748524536,0.005781553956143223,72565,0.006659862245760317,everyday,ses
ses_census_share_ge65,0.1252231057704249,0.009856667510894946,12.70440599036247,5.589220805647861e-37,72565,0.006659862245760317,everyday,ses
const,0.03826309878266596,0.005978922882712033,6.399664209301503,1.5571902910454488e-10,72565,0.05307396868748837,everyday,ses
ses_census_share_u15,0.296262105553079,0.008854575746914542,33.45864488835778,1.92686834899808e-245,72565,0.05307396868748837,everyday,ses
const,0.3883182385675438,0.009688035978848836,40.08224571165198,0.0,75499,0.03037717717757238,emergency,density
ses_log10_density,-0.3246602736814797,0.005632984467261742,-57.63557055205245,0.0,75499,0.03037717717757238,emergency,density
const,0.057030832548296426,0.005607460449199495,10.170527828945808,2.6844996257372257e-24,72235,0.013526551201079484,emergency,ses
ses_census_employment_share,0.1706016342639822,0.0053892734690944655,31.655776097153147,6.315032357311268e-220,72235,0.013526551201079484,emergency,ses
const,0.07940279141853893,0.0060877797583589206,13.042980293351397,6.96791108818256e-39,72565,0.029227488016328684,emergency,ses
ses_census_foreign_born_share,-0.15226158990759808,0.0038473349859243842,-39.57585977427302,0.0,72565,0.029227488016328684,emergency,ses
const,0.045448326255813715,0.0055509539660022035,8.18748030233542,2.667518714341787e-16,72565,0.0358953050024714,emergency,ses
ses_census_share_ge65,0.290717162919976,0.009371394976219256,31.021759690814072,2.7432704137198123e-211,72565,0.0358953050024714,emergency,ses
const,0.003565518033933418,0.00443807854440234,0.803392278496408,0.4217480365805574,72565,0.00046085739508294754,emergency,ses
ses_census_share_u15,0.027606961112075803,0.003538155731857484,7.802641603223756,6.062454224140042e-15,72565,0.00046085739508294754,emergency,ses
