term,coef,se,t,p,n,r2,regime,model
const,1.2802540708355141,0.009017721332709039,141.97090635211606,0.0,52346,0.3838071607257616,everyday,density
ses_log10_density,-1.1507377351167183,0.007235717828091155,-159.03573943268222,0.0,52346,0.3838071607257616,everyday,density
const,0.3792838097438147,0.006895838468854615,55.00184081411828,0.0,50943,0.2899295469833649,everyday,ses
ses_census_foreign_born_share,-0.41903618394688885,0.00557774393937783,-75.12646483976643,0.0,50943,0.2899295469833649,everyday,ses
const,-4.6267657911817334e-05,0.006411695427730179,-0.007216134707789242,0.9942424074968267,50943,1.0170313957669208e-07,everyday,ses
ses_census_share_ge65,-0.0003823852513522366,0.006928198436408987,-0.0551925951402792,0.95598502816725,50943,1.0170313957669208e-07,everyday,ses
const,0.02545363536225962,0.006334228351895873,4.018427178212038,5.858790999403343e-05,50943,0.03530797260668361,everyday,ses
ses_census_share_u15,0.2433223489216793,0.008297900993219887,29.323361307937393,5.225172930803184e-189,50943,0.03530797260668361,everyday,ses
const,1.2357989491616324,0.008275300306123013,149.33584322580379,0.0,52346,0.3576155423559091,emergency,density
ses_log10_density,-1.1107798961262474,0.006607957199912976,-168.09732002212058,0.0,52346,0.3576155423559091,emergency,density
const,0.44201733310335056,0.006626143898699304,66.70807936877397,0.0,50943,0.3937698566848865,emergency,ses
ses_census_foreign_born_share,-0.488344748032128,0.005471497384692459,-89.252486786956,0.0,50943,0.3937698566848865,emergency,ses
const,0.017134125077506248,0.007127872108230884,2.4038204975255772,0.016224737875375542,50943,0.013947719137259451,emergency,ses
ses_census_share_ge65,0.14160726996273348,0.008113131655588687,17.454082587848564,3.204851964863616e-68,50943,0.013947719137259451,emergency,ses
const,0.02231833268837995,0.007179308865840261,3.108702119583182,0.0018791106763683357,50943,0.027145424565021226,emergency,ses
ses_census_share_u15,0.21335062974163727,0.008784358571436222,24.28755930289341,2.6534214369470555e-130,50943,0.027145424565021226,emergency,ses
