term,coef,se,t,p,n,r2,regime,model
const,1.0089157874687082,0.0071715943829126685,140.6822156412794,0.0,176137,0.21242179785668192,everyday,density
ses_log10_density,-1.0489741364333653,0.008625450390835872,-121.61383915068947,0.0,176137,0.21242179785668192,everyday,density
const,0.00018872466655567603,0.003273873689520877,0.05764567740036892,0.9540308648382095,89239,2.4960273187879523e-05,everyday,ses
ses_age_share_u18,-0.006752073657809434,0.004806420408686828,-1.404802968464047,0.1600798761425266,89239,2.4960273187879523e-05,everyday,ses
const,0.00018574464268763404,0.003253072644830388,0.05709821543112776,0.9544669579856699,89239,5.26044470875453e-05,everyday,ses
ses_age_share_ge65,0.009432044832553438,0.004453206565001991,2.1180344308931067,0.03417215182596518,89239,5.26044470875453e-05,everyday,ses
const,0.04998332897786892,0.004497042954372569,11.114710151760743,1.0639557175062557e-28,44502,0.042255608456380656,everyday,ses
ses_net_rent_durchschnMieteQM,-0.19950168167480214,0.004683398451236359,-42.5976315600771,0.0,44502,0.042255608456380656,everyday,ses
const,0.7278434020736875,0.006144896754139864,118.44680735820887,0.0,176137,0.11055162822463105,emergency,density
ses_log10_density,-0.7567419537209379,0.005228797036895908,-144.72582285775243,0.0,176137,0.11055162822463105,emergency,density
const,0.00027971276185966807,0.003344058929441743,0.08364468681966776,0.9333389364586886,89239,5.482978763815538e-05,emergency,ses
ses_age_share_u18,-0.010007389100613445,0.0050356138697070655,-1.9873225707029043,0.04688666200957854,89239,5.482978763815538e-05,emergency,ses
const,0.0008753325407700259,0.003298902558122231,0.2653405262349653,0.7907471475735177,89239,0.0011682506053365405,emergency,ses
ses_age_share_ge65,0.04444906538607291,0.004548253647444967,9.772776285474466,1.4735764519303418e-22,89239,0.0011682506053365405,emergency,ses
const,0.07378035191723717,0.00507256853541936,14.544968964354778,6.28593492445486e-48,44502,0.09206942892823278,emergency,ses
ses_net_rent_durchschnMieteQM,-0.29448427271750494,0.005631222059951197,-52.294913889447486,0.0,44502,0.09206942892823278,emergency,ses
