column,n_cells,cell_share,pop_share,n_distinct
ses_age_share_ge65,63813,0.3622918523649205,0.6644265306219813,4291
ses_age_share_u18,58489,0.33206538092507537,0.6300974302717538,3790
ses_age_structure_Insgesamt_Bevoelkerung,89239,0.5066453953456684,0.762562370686841,426
ses_age_structure_Unter18,58489,0.33206538092507537,0.6300974302717538,142
ses_age_structure_a18bis29,48333,0.2744057182761146,0.5670000914615949,138
ses_age_structure_a30bis49,66118,0.3753782566979113,0.6806976951677857,182
ses_age_structure_a50bis64,68168,0.3870169243259508,0.6882604232170001,104
ses_age_structure_a65undaelter,63813,0.3622918523649205,0.6644265306219813,167
ses_census_employment_share,295,0.001674832658669104,0.0008291654999536232,1
ses_census_foreign_born_share,165878,0.9417555652702158,0.9620123465148616,2307
ses_census_share_ge65,165878,0.9417555652702158,0.9620123465148616,2440
ses_census_share_u15,165878,0.9417555652702158,0.9620123465148616,2280
ses_household_size_DurchschnHHGroesse,78416,0.4451989076684626,0.7338400422902936,400
ses_net_rent_durchschnMieteQM,44502,0.25265560330878806,0.5418760549889943,1555
ses_ownership_rate_Eigentuemerquote,61903,0.3514480205748934,0.5682629309705967,1911
ses_population_Einwohner,89239,0.5066453953456684,0.762562370686841,426
ses_vacancy_rate_Leerstandsquote,4633,0.026303388839369356,0.08077893977117659,712
