term,coef,se,t,p,n,r2,regime,model
const,1.2062722293141757,0.016880602258754897,71.45907538272569,0.0,23030,0.30592398943031374,everyday,density
ses_log10_density,-1.087151271234591,0.017200713001282276,-63.2038492330839,0.0,23030,0.30592398943031374,everyday,density
const,0.09369322942585562,0.011920628712411814,7.85975569629996,3.848833844317234e-15,22312,0.06341178728701691,everyday,ses
ses_census_employment_share,0.3360890336569093,0.017238067377953872,19.496909153907858,1.166203535050974e-84,22312,0.06341178728701691,everyday,ses
const,0.10367837136202601,0.01190119418796129,8.711593956420137,2.996312878405408e-18,22405,0.07522218722523288,everyday,ses
ses_census_foreign_born_share,-0.2645132584033783,0.009656973721751574,-27.390905890898612,3.519597783534109e-165,22405,0.07522218722523288,everyday,ses
const,0.0054617749358708105,0.010944582302112215,0.49903913964964497,0.6177518111229203,22405,0.006475107006252645,everyday,ses
ses_census_share_ge65,-0.10745910424223128,0.018152085805193133,-5.919931483107483,3.220757705584506e-09,22405,0.006475107006252645,everyday,ses
const,0.005366164613955808,0.010597917032788548,0.5063414440171221,0.6126169736740458,22405,0.007156919618357183,everyday,ses
ses_census_share_u15,0.10914981493855172,0.01604251744548829,6.80378346537179,1.0190667627246753e-11,22405,0.007156919618357183,everyday,ses
const,0.7128413203048521,0.014506958656154464,49.13788873331039,0.0,23030,0.10683378288312417,emergency,density
ses_log10_density,-0.6424473089284083,0.017094331626781926,-37.582476048485994,4.155799344494277e-309,23030,0.10683378288312417,emergency,density
const,0.0653633544416697,0.012821513160954182,5.097943871455289,3.4336258816589367e-07,22312,0.030861870261158497,emergency,ses
ses_census_employment_share,0.2344663191299134,0.010063777619107208,23.298042544655683,4.640505758800019e-120,22312,0.030861870261158497,emergency,ses
const,0.08903785644872289,0.012675761725208887,7.024260819896061,2.1520247832129792e-12,22405,0.05547777262538833,emergency,ses
ses_census_foreign_born_share,-0.22716110622789107,0.006052611229217802,-37.53109156116208,2.8665867257181305e-308,22405,0.05547777262538833,emergency,ses
const,-0.010559636926482372,0.01264793858328188,-0.8348899590989605,0.4037796687042654,22405,0.024203452576626594,emergency,ses
ses_census_share_ge65,0.20775830907832796,0.014992293629216691,13.857673429864834,1.1431993918381238e-43,22405,0.024203452576626594,emergency,ses
const,0.004441148558499821,0.012021795759051266,0.3694247221889508,0.7118111735601766,22405,0.004902174414143312,emergency,ses
ses_census_share_u15,0.09033463901091307,0.016623375784592786,5.43419340219926,5.50448533541429e-08,22405,0.004902174414143312,emergency,ses
