term,coef,se,t,p,n,r2,regime,model
const,0.976006061237997,0.009289019594490815,105.07094438866856,0.0,49764,0.23555578893854112,everyday,density
ses_log10_density,-1.0208757582308827,0.008625123440860643,-118.36071277479785,0.0,49764,0.23555578893854112,everyday,density
const,0.026677621257819122,0.005754771623511572,4.635739348686854,3.5566391123558067e-06,47570,0.0410558953481992,everyday,ses
ses_census_employment_share,0.2248833779975985,0.006688430736232766,33.62274154673585,7.805681417002295e-248,47570,0.0410558953481992,everyday,ses
const,0.07522961400052519,0.007505422203967662,10.023368700132,1.203301926406632e-23,35526,0.05472306413645733,everyday,ses
ses_census_foreign_born_share,0.35351627270817443,0.011821783251142843,29.903802598816814,1.7560748649606297e-196,35526,0.05472306413645733,everyday,ses
const,0.06717861019627758,0.006348051808748451,10.582555439087091,3.59030106928669e-26,47438,0.07143967370267013,everyday,ses
ses_census_share_ge65,-0.30967443128759237,0.007064876138398504,-43.83295973222691,0.0,47438,0.07143967370267013,everyday,ses
const,0.11300285185116483,0.006270905934164694,18.020179705696254,1.3530328799409057e-72,47522,0.13124798025339446,everyday,ses
ses_census_share_u15,0.5018552160426464,0.009234433386076522,54.346075721260036,0.0,47522,0.13124798025339446,everyday,ses
const,0.41148488820734525,0.010327865016830827,39.842202385175256,0.0,49764,0.04186938029724696,emergency,density
ses_log10_density,-0.43040198614790076,0.012698148636988002,-33.894861247268565,7.930456799537941e-252,49764,0.04186938029724696,emergency,density
const,-0.03994516392876795,0.006358702831935871,-6.2819674050732255,3.34314950783089e-10,47570,0.09204702109709095,emergency,ses
ses_census_employment_share,-0.3367243020715841,0.005969686732117572,-56.40569047953057,0.0,47570,0.09204702109709095,emergency,ses
const,-0.01450358757625299,0.007654489804424488,-1.8947817485979994,0.05812132216691351,35526,0.0020339656933170414,emergency,ses
ses_census_foreign_born_share,-0.06815473253415474,0.008786743725640606,-7.756540381992973,8.727752752368735e-15,35526,0.0020339656933170414,emergency,ses
const,0.05644906294212975,0.006747141235039975,8.366367469673296,5.942168642979541e-17,47438,0.050441838417895735,emergency,ses
ses_census_share_ge65,-0.2602142469492498,0.0073043251312114536,-35.62468020999664,5.813131456634109e-278,47438,0.050441838417895735,emergency,ses
const,0.07855602150132195,0.006898565862159099,11.387297457320447,4.8376193765334586e-30,47522,0.06342679718631772,emergency,ses
ses_census_share_u15,0.3488739310218588,0.009047824116145426,38.55887631583259,0.0,47522,0.06342679718631772,emergency,ses
