term,coef,se,t,p,n,r2,regime,model
const,1.1449979038167992,0.008848698146892937,129.39732882840454,0.0,133111,0.2820584008653749,everyday,density
ses_log10_density,-1.0080321035888387,0.009151297723831837,-110.1518204312945,0.0,133111,0.2820584008653749,everyday,density
const,0.18141052581903036,0.004383294916687777,41.38679447015458,0.0,130492,0.11195756556340308,everyday,ses
ses_census_employment_share,0.5243526568443403,0.006968588567027485,75.2451736532937,0.0,130492,0.11195756556340308,everyday,ses
const,0.2083790586229034,0.004478273175915466,46.5311182318184,0.0,130801,0.11012468493546657,everyday,ses
ses_census_foreign_born_share,-0.35779032043976894,0.00529209442544967,-67.60845360565679,0.0,130801,0.11012468493546657,everyday,ses
const,0.07088090667983606,0.0037939009469167757,18.682856424451327,6.826641240522637e-78,130801,0.03321895041132272,everyday,ses
ses_census_share_ge65,0.2651318188883991,0.005671883038821529,46.74493762894777,0.0,130801,0.03321895041132272,everyday,ses
const,0.0023780033049264895,0.004244532566012521,0.5602509270321085,0.5753082945094701,130801,0.0003335556726367095,everyday,ses
ses_census_share_u15,-0.02873870061032537,0.006761127387337853,-4.250578189688722,2.1321938448340614e-05,130801,0.0003335556726367095,everyday,ses
const,0.8743255308970318,0.006674235943039755,131.00009324795064,0.0,133111,0.16446594192920838,emergency,density
ses_log10_density,-0.7697378320026863,0.005051526288364606,-152.3772792741188,0.0,133111,0.16446594192920838,emergency,density
const,0.10813045555225839,0.0042989914359828464,25.15251708742642,1.3263704480652871e-139,130492,0.03977631511713353,emergency,ses
ses_census_employment_share,0.3125424580444476,0.007470812258528997,41.835137496279046,0.0,130492,0.03977631511713353,emergency,ses
const,0.19819998918045736,0.0042346762848025285,46.80404731095044,0.0,130801,0.09962854512228869,emergency,ses
ses_census_foreign_born_share,-0.3403126883703099,0.004810301863680616,-70.74663877952946,0.0,130801,0.09962854512228869,emergency,ses
const,0.12923299463842755,0.003859857042132567,33.481290428058564,9.023752696555107e-246,130801,0.11042672546823917,emergency,ses
ses_census_share_ge65,0.48339927540216365,0.00616681156740667,78.38722978938817,0.0,130801,0.11042672546823917,emergency,ses
const,-0.0032768908858606892,0.00396223368867147,-0.827031200918244,0.40821937715400003,130801,0.0006333844312477188,emergency,ses
ses_census_share_u15,0.039601957619807344,0.005797004893689423,6.83145147296973,8.405972738690953e-12,130801,0.0006333844312477188,emergency,ses
