term,coef,se,t,p,n,r2,regime,model
const,0.9744537149318391,0.007996777808920608,121.85579469831103,0.0,98052,0.16968319017313138,everyday,density
ses_log10_density,-1.0701782462423985,0.009408368127474177,-113.74748859127651,0.0,98052,0.16968319017313138,everyday,density
const,0.04736494325958848,0.004431184517165987,10.6890026980599,1.1459656560123841e-26,92826,0.03071800517743417,everyday,ses
ses_census_foreign_born_share,-0.20834102786415154,0.008333406904203464,-25.000702624884667,6.00677573592337e-138,92826,0.03071800517743417,everyday,ses
const,0.002959256784272757,0.00410598105333816,0.7207185678236101,0.47108268600456304,92826,0.0008223265858783302,everyday,ses
ses_census_share_ge65,0.03778772194491508,0.006622719522619407,5.7057711436901295,1.1581752711452821e-08,92826,0.0008223265858783302,everyday,ses
const,0.0022843223620112366,0.004044994715945713,0.5647281448863811,0.5722586876730972,92826,0.0013390366112734364,everyday,ses
ses_census_share_u15,0.05216531601949358,0.006915355862427579,7.543402979869408,4.5786350321963595e-14,92826,0.0013390366112734364,everyday,ses
const,0.41583277312742156,0.007745591727306452,53.686379009809805,0.0,98052,0.0308996683715832,emergency,density
ses_log10_density,-0.4566817089991235,0.0082573520125108,-55.30607249239227,0.0,98052,0.0308996683715832,emergency,density
const,0.03297730026706424,0.0045013115007315,7.326153780227198,2.368519953001727e-13,92826,0.014890495982697982,emergency,ses
ses_census_foreign_born_share,-0.14505505888965786,0.004335268686545309,-33.459300767180224,1.8850068759933302e-245,92826,0.014890495982697982,emergency,ses
const,0.010142846394449024,0.004538506271642547,2.2348424321507414,0.025427695038660433,92826,0.009660480414410588,emergency,ses
ses_census_share_ge65,0.12951733736672638,0.006325087711034162,20.47676542742363,3.4694614410271998e-93,92826,0.009660480414410588,emergency,ses
const,0.004806372893994609,0.004299516376766983,1.1178868674547895,0.2636153145468595,92826,0.005928060024785298,emergency,ses
ses_census_share_u15,0.10975944774362037,0.004687292840112316,23.4163837181955,2.91025369100217e-121,92826,0.005928060024785298,emergency,ses
