term,coef,se,t,p,n,r2,regime,model
const,1.2623211939086652,0.007082289112211863,178.23632640639698,0.0,129160,0.4090005683193815,everyday,density
ses_log10_density,-1.0308336009153272,0.007104597637509658,-145.09387491177623,0.0,129160,0.4090005683193815,everyday,density
const,0.0267013413915885,0.005428239072302317,4.918969307713906,8.700110868920898e-07,126471,0.027484393978117194,everyday,ses
ses_census_employment_share,-0.19790769262173616,0.006021343292545505,-32.86769795483148,6.364128887588896e-237,126471,0.027484393978117194,everyday,ses
const,0.04800898418878388,0.006387570716578625,7.516000420031191,5.647737186500289e-14,52926,0.0311967859301423,everyday,ses
ses_census_foreign_born_share,-0.2057895621179565,0.009644697688300357,-21.337067139760386,5.1420694285648566e-101,52926,0.0311967859301423,everyday,ses
const,0.0678797073170122,0.00528832816522572,12.835759278965796,1.0338439894290065e-37,124960,0.0596551379881316,everyday,ses
ses_census_share_ge65,-0.22161928538724113,0.005025536677698305,-44.0986305742659,0.0,124960,0.0596551379881316,everyday,ses
const,0.17346707378394197,0.004983860024423558,34.8057676045999,1.9895771782440251e-265,124970,0.14029037557437485,everyday,ses
ses_census_share_u15,0.373310066247873,0.004297350430168639,86.86982183885418,0.0,124970,0.14029037557437485,everyday,ses
const,1.0877202557429195,0.005891034168231911,184.6399502499201,0.0,129160,0.30368168179490407,emergency,density
ses_log10_density,-0.8882514160632421,0.00493074612553098,-180.1454371102078,0.0,129160,0.30368168179490407,emergency,density
const,0.03641286600674165,0.005287874470372962,6.8861063572436505,5.7340127923538095e-12,126471,0.05111280703168397,emergency,ses
ses_census_employment_share,-0.2698885493224262,0.005712646727188542,-47.244046798470734,0.0,126471,0.05111280703168397,emergency,ses
const,0.08068954564271358,0.006572828996597176,12.276227737628261,1.2153408505509652e-34,52926,0.08812504646130803,emergency,ses
ses_census_foreign_born_share,-0.3458741430565466,0.008978295690256132,-38.52336289524449,0.0,52926,0.08812504646130803,emergency,ses
const,0.020905587974408477,0.0047410334717376355,4.40950018577835,1.0360946962297328e-05,124960,0.005658387763031958,emergency,ses
ses_census_share_ge65,-0.06825429352326322,0.004528299709976961,-15.072830398765827,2.444137452585126e-51,124960,0.005658387763031958,emergency,ses
const,0.1066998022528358,0.00463471432362573,23.021872504401674,2.815204849963191e-117,124970,0.05307878854623327,emergency,ses
ses_census_share_u15,0.22962346328187372,0.00413438973208468,55.539868798506056,0.0,124970,0.05307878854623327,emergency,ses
