term,coef,se,t,p,n,r2,regime,model
const,1.2319386356547448,0.021600728481341584,57.03227262538283,0.0,41492,0.3434905475975334,everyday,density
ses_log10_density,-0.880985074937367,0.020652268458374916,-42.6580293933817,0.0,41492,0.3434905475975334,everyday,density
const,0.044623736547936804,0.01358746774366322,3.2841834394600826,0.0010227832705845274,35533,0.04886246968544872,everyday,ses
ses_census_employment_share,0.3363526527955703,0.031822431790032725,10.569671576793862,4.119346723670163e-26,35533,0.04886246968544872,everyday,ses
const,0.10147056371329845,0.012945292037621778,7.838414414939683,4.562710432481454e-15,37486,0.07689865053617473,everyday,ses
ses_census_foreign_born_share,-0.3463830926692833,0.033127792642573935,-10.455966577867661,1.3758862876523498e-25,37486,0.07689865053617473,everyday,ses
const,-0.008538035288927581,0.013653108976407874,-0.625354657586124,0.5317383143444065,37486,0.010277162418873664,everyday,ses
ses_census_share_ge65,-0.18909760694666827,0.024054751064153675,-7.8611333969887145,3.8067311575993e-15,37486,0.010277162418873664,everyday,ses
const,0.012104273870223841,0.01252023589473724,0.966776822097398,0.3336556136018477,37486,0.02492261321947231,everyday,ses
ses_census_share_u15,0.24901338744149845,0.015455613724141075,16.11151727042383,2.117633818322436e-58,37486,0.02492261321947231,everyday,ses
const,1.0249811998628162,0.011591932224866403,88.42194553761111,0.0,41492,0.23777623081122623,emergency,density
ses_log10_density,-0.7329854856695983,0.008595841243992063,-85.27210599450144,0.0,41492,0.23777623081122623,emergency,density
const,0.03259915856088943,0.010356238246596415,3.1477798969720654,0.0016451551832346862,35533,0.0260769220533269,emergency,ses
ses_census_employment_share,0.24571706246695812,0.013630778975730833,18.026633907310032,1.204020074102667e-72,35533,0.0260769220533269,emergency,ses
const,0.08818756932881008,0.010642577700545615,8.286297907347103,1.1682794073921741e-16,37486,0.05808357212223059,emergency,ses
ses_census_foreign_born_share,-0.3010398472349945,0.022522290939913966,-13.366306653178526,9.51493374022449e-41,37486,0.05808357212223059,emergency,ses
const,0.01135392465071508,0.010706389260683336,1.0604812111969124,0.28892573329283766,37486,0.018173950659578608,emergency,ses
ses_census_share_ge65,0.2514630015276866,0.015128774151884523,16.621505417632463,4.869437702372737e-62,37486,0.018173950659578608,emergency,ses
const,0.0009592094272705803,0.010260396625186503,0.09348658363907494,0.9255170077203382,37486,0.00015651031718844077,emergency,ses
ses_census_share_u15,0.01973319435030819,0.013916275598914184,1.4179939316412986,0.15619253647103198,37486,0.00015651031718844077,emergency,ses
