term,coef,se,t,p,n,r2,regime,model
const,1.3405705202705445,0.014719274298330316,91.07585694103223,0.0,18414,0.35227178647704216,everyday,density
ses_log10_density,-1.2834848534501622,0.013631298262278681,-94.15719829136862,0.0,18414,0.35227178647704216,everyday,density
const,0.37720573528808504,0.01059356822763765,35.60705205107282,1.0896653526446924e-277,17875,0.37645703187174784,everyday,ses
ses_census_foreign_born_share,-0.6503060052799855,0.009131330497203896,-71.21700451857653,0.0,17875,0.37645703187174784,everyday,ses
const,0.003238398121658225,0.011557128940509934,0.28020783867064286,0.7793180530856109,17875,0.002257280179731258,everyday,ses
ses_census_share_ge65,-0.07332575173052126,0.023756035737054197,-3.0866156517919863,0.002024491757582904,17875,0.002257280179731258,everyday,ses
const,0.001665499772411189,0.011558812438734304,0.14408917708795024,0.885430050970441,17875,0.002702247644745026,everyday,ses
ses_census_share_u15,0.08626036323533627,0.018430033607652656,4.680423545159386,2.8628285965987997e-06,17875,0.002702247644745026,everyday,ses
const,1.1679261375702725,0.015656564064830823,74.59658024162357,0.0,18414,0.2673802270961253,emergency,density
ses_log10_density,-1.1181922061194332,0.014451307405520237,-77.37654280970428,0.0,18414,0.2673802270961253,emergency,density
const,0.33936169077688083,0.011787387588391115,28.79023772079094,2.8421544327325734e-182,17875,0.30470842951579413,emergency,ses
ses_census_foreign_born_share,-0.5850625396923707,0.00912665521228901,-64.10481453321322,0.0,17875,0.30470842951579413,emergency,ses
const,0.0075203940030000825,0.011588278980892283,0.6489655638598564,0.5163606347445541,17875,0.01217323985590113,emergency,ses
ses_census_share_ge65,-0.17028126958561793,0.024126048574658093,-7.057984197399018,1.6893526506469824e-12,17875,0.01217323985590113,emergency,ses
const,0.0027771542056279973,0.011672562745925444,0.23792154868453563,0.8119419419150701,17875,0.007513390859307578,emergency,ses
ses_census_share_u15,0.14383570295609707,0.017900044160684293,8.035494307439656,9.320238776122022e-16,17875,0.007513390859307578,emergency,ses
