term,coef,se,t,p,n,r2,regime,model
const,1.85664109882406,0.014447392766200936,128.510460597956,0.0,142500,0.29087124997394753,everyday,density
ses_log10_density,-1.2303175126749633,0.011136378565588183,-110.47734282998329,0.0,142500,0.29087124997394753,everyday,density
const,0.0020141584536759595,0.005169322636866563,0.3896368238483296,0.6968051184967095,135767,0.003051246322263279,everyday,ses
ses_census_employment_share,-0.1270521772999242,0.012077836358001375,-10.519448478514462,7.028377993962495e-26,135767,0.003051246322263279,everyday,ses
const,0.24585029060392485,0.006187608820948946,39.732681512051485,0.0,136193,0.1394961144164225,everyday,ses
ses_census_foreign_born_share,-0.5800974582094958,0.009405020246282647,-61.6795544314517,0.0,136193,0.1394961144164225,everyday,ses
const,-0.01083748710096541,0.005433851720017845,-1.994439241144736,0.046104073700519624,136193,0.0020929834321533614,everyday,ses
ses_census_share_ge65,-0.0779912315550144,0.008714647434007437,-8.949441976352,3.5728388362775457e-19,136193,0.0020929834321533614,everyday,ses
const,-0.01989930032033802,0.00540616537661776,-3.680853050926746,0.0002324549514456384,136193,0.008763618294957864,everyday,ses
ses_census_share_u15,0.180368138887718,0.010217868410148758,17.652227612225833,9.78205370958807e-70,136193,0.008763618294957864,everyday,ses
const,1.583229686079153,0.011838660443163769,133.7338539001166,0.0,142500,0.21151088698063092,emergency,density
ses_log10_density,-1.0491393358704555,0.008633664669710559,-121.51726711730484,0.0,142500,0.21151088698063092,emergency,density
const,-0.001000324047098803,0.005428314291463981,-0.18427894801003172,0.8537946281565827,135767,0.0007526124878641793,emergency,ses
ses_census_employment_share,0.06309997505777147,0.012120272904707281,5.206151342785743,1.9279742323063283e-07,135767,0.0007526124878641793,emergency,ses
const,0.18452273366941616,0.00663983399465514,27.790263102654556,5.687873298003838e-170,136193,0.07858151885045228,emergency,ses
ses_census_foreign_born_share,-0.435391670762529,0.012154385889176066,-35.82177452093746,5.060782620029824e-281,136193,0.07858151885045228,emergency,ses
const,-0.008350571887062746,0.005608649289834027,-1.4888739615433966,0.13652056140411056,136193,0.0012426277316038847,emergency,ses
ses_census_share_ge65,-0.06009431703062172,0.008842312386301966,-6.796221893688873,1.0739832319499806e-11,136193,0.0012426277316038847,emergency,ses
const,-0.01217871516052981,0.0058628652818867675,-2.077263347352661,0.03777725999327914,136193,0.0032825457430540883,emergency,ses
ses_census_share_u15,0.11038841327015347,0.011502658829935453,9.596773659223006,8.248599862397294e-22,136193,0.0032825457430540883,emergency,ses
