term,coef,se,t,p,n,r2,regime,model
const,1.5050494500479803,0.006872800075884364,218.98635686042658,0.0,106204,0.4552683403043808,everyday,density
ses_log10_density,-1.2072345476934103,0.006274913658912307,-192.39062293371416,0.0,106204,0.4552683403043808,everyday,density
const,0.05234050284187096,0.005941679523311216,8.809041725747996,1.262202009651931e-18,100823,0.04721823679058135,everyday,ses
ses_census_employment_share,0.33069821043629,0.01132298402031167,29.205923972255803,1.6308200725832106e-187,100823,0.04721823679058135,everyday,ses
const,0.2949205505861596,0.008692363917511839,33.928693435396305,2.515332701331426e-252,101213,0.2615814221092235,everyday,ses
ses_census_foreign_born_share,-0.5074876570947537,0.014847977132231403,-34.17890885574706,4.9759893751538203e-256,101213,0.2615814221092235,everyday,ses
const,0.005833027575763208,0.006216057872089653,0.9383805131470436,0.34804889671116435,101213,0.011861356025979153,everyday,ses
ses_census_share_ge65,-0.17746345497446958,0.015618420814777951,-11.362445478902446,6.431855554385694e-30,101213,0.011861356025979153,everyday,ses
const,0.012414825760383927,0.006376701064854665,1.9469041490447976,0.051546227138870034,101213,0.020653364641912364,everyday,ses
ses_census_share_u15,0.19413311327504268,0.023115364914592137,8.39844467056159,4.524310520024363e-17,101213,0.020653364641912364,everyday,ses
const,0.8511209645844632,0.007594738092876827,112.06719101778337,0.0,106204,0.14559567948058205,emergency,density
ses_log10_density,-0.6827035700918309,0.005955312376568997,-114.63774306414356,0.0,106204,0.14559567948058205,emergency,density
const,0.01819926135052303,0.004997249579146451,3.6418555972206477,0.00027067990163495194,100823,0.005708756352865052,emergency,ses
ses_census_employment_share,0.11498672792775746,0.008303299226727139,13.84831797433381,1.3022589071309321e-43,100823,0.005708756352865052,emergency,ses
const,0.1407380836526864,0.006208320391450514,22.669268784274887,9.0077821721255e-114,101213,0.059568970009248656,emergency,ses
ses_census_foreign_born_share,-0.2421765461747349,0.007265523726860148,-33.33229031782316,1.315441936708428e-243,101213,0.059568970009248656,emergency,ses
const,-0.0025422762292855224,0.00495775317667022,-0.5127879784836311,0.6080996398299021,101213,0.0022531585650396035,emergency,ses
ses_census_share_ge65,0.07734596095912458,0.007903407414684026,9.786406912975373,1.2879146797926496e-22,101213,0.0022531585650396035,emergency,ses
const,0.000926453857464588,0.004956663556218425,0.18691078120529228,0.851730585988672,101213,0.00011501570429728325,emergency,ses
ses_census_share_u15,0.014487144252093402,0.005973370428007452,2.4252881060527005,0.015296242265873797,101213,0.00011501570429728325,emergency,ses
