term,coef,se,t,p,n,r2,regime,model
const,1.5142202720293745,0.008765143406572697,172.75476301892675,0.0,84314,0.42703987910301977,everyday,density
ses_log10_density,-1.170088597216741,0.007738751727882731,-151.19862199492852,0.0,84314,0.42703987910301977,everyday,density
const,0.04393228547407882,0.005594859022673116,7.852259600473154,4.086076015237268e-15,81322,0.026772591621725406,everyday,ses
ses_census_employment_share,0.19503518421202962,0.006769017566326821,28.812923337982213,1.477564276771662e-182,81322,0.026772591621725406,everyday,ses
const,0.008462703252217783,0.006332918957116679,1.3363037344268773,0.18145001640157188,33799,0.002331020680599538,everyday,ses
ses_census_foreign_born_share,0.0852049918090028,0.010876872435534674,7.833593003319469,4.7412183997061955e-15,33799,0.002331020680599538,everyday,ses
const,0.17337932035037978,0.007051403294826988,24.587917199059284,1.7011210500415715e-133,77971,0.11584689057137743,everyday,ses
ses_census_share_ge65,-0.3606243271660928,0.005210314127831165,-69.21354803538603,0.0,77971,0.11584689057137743,everyday,ses
const,0.3501150428956457,0.006575531011871833,53.24513598423129,0.0,78321,0.2177421724574905,everyday,ses
ses_census_share_u15,0.6722954742343352,0.007792520694896761,86.27445476976588,0.0,78321,0.2177421724574905,everyday,ses
const,1.0042987836442272,0.014116900425461957,71.14159294010625,0.0,84314,0.18785216065934018,emergency,density
ses_log10_density,-0.776055225681166,0.013997343824679166,-55.44303515020315,0.0,84314,0.18785216065934018,emergency,density
const,0.0062772554002645895,0.006366026463419937,0.98605549887902,0.3241058794048519,81322,0.0005465909257343915,emergency,ses
ses_census_employment_share,0.02786756141013645,0.011781871911494367,2.3652914935315943,0.018015884736399305,81322,0.0005465909257343915,emergency,ses
const,-0.0009461942809050884,0.010460014851981793,-0.09045821581465718,0.9279230967255307,33799,2.9139932342436836e-05,emergency,ses
ses_census_foreign_born_share,-0.009526563032102767,0.02893280130445557,-0.3292651455300218,0.7419552864314347,33799,2.9139932342436836e-05,emergency,ses
const,0.08260650253896773,0.009230286126050192,8.949506159492865,3.570762162069748e-19,77971,0.026297729820542903,emergency,ses
ses_census_share_ge65,-0.17181930542499121,0.007056650675477246,-24.348563267002156,6.0040647362687e-131,77971,0.026297729820542903,emergency,ses
const,0.20612727423599397,0.007188282401503557,28.67545579356743,7.721232365184035e-181,78321,0.07547305513953895,emergency,ses
ses_census_share_u15,0.3958082818692905,0.007809111421458289,50.685444285206074,0.0,78321,0.07547305513953895,emergency,ses
