term,coef,se,t,p,n,r2,regime,model
const,1.5517922321263484,0.014741645962580282,105.26587302838283,0.0,16174,0.516703999389138,everyday,density
ses_log10_density,-1.1734267820450954,0.012859060079210033,-91.25292010589799,0.0,16174,0.516703999389138,everyday,density
const,0.14542668493867547,0.015257020982057612,9.531787700213462,1.5459768469196358e-21,14529,0.17200632010633965,everyday,ses
ses_census_employment_share,0.5373195161120206,0.01696669346963162,31.6690766573793,4.1428569346846894e-220,14529,0.17200632010633965,everyday,ses
const,0.014121008466645293,0.022236191268476153,0.6350461864691905,0.5253982926198197,4713,0.01603547680235773,everyday,ses
ses_census_foreign_born_share,0.2370416612368813,0.03748581100595224,6.32350361045256,2.5569822650970084e-10,4713,0.01603547680235773,everyday,ses
const,0.06579277520311336,0.016971179644521883,3.8767355352549444,0.00010586732234219251,13283,0.07646989376009838,everyday,ses
ses_census_share_ge65,-0.36622101413900454,0.023469333696679615,-15.604235675033953,6.81206492937247e-55,13283,0.07646989376009838,everyday,ses
const,0.0753928116382186,0.017015253929049783,4.430895474883395,9.384257173159049e-06,13393,0.059272480816493944,everyday,ses
ses_census_share_u15,0.36113500255850634,0.022020203094666096,16.400166747144272,1.9071386858252642e-60,13393,0.059272480816493944,everyday,ses
const,1.3264861724895336,0.01679280818025878,78.9913252298635,0.0,16174,0.3775549167690687,emergency,density
ses_log10_density,-1.0030559301607416,0.00992426043163833,-101.07110117374799,0.0,16174,0.3775549167690687,emergency,density
const,0.06718045829143982,0.01364573695267726,4.923182861022334,8.514781823900738e-07,14529,0.03670642768031562,emergency,ses
ses_census_employment_share,0.24821697171026058,0.016074237950731856,15.441912236900743,8.552647604714666e-54,14529,0.03670642768031562,emergency,ses
const,0.004592748023020464,0.017343926973761317,0.26480439118364496,0.7911601539460861,4713,0.001696272763501372,emergency,ses
ses_census_foreign_born_share,0.07709595413037154,0.02757208870254951,2.796159368341315,0.005171389271239947,4713,0.001696272763501372,emergency,ses
const,0.016668619901645677,0.013810677326554305,1.2069371767593398,0.22745633899986806,13283,0.004908325573028227,emergency,ses
ses_census_share_ge65,-0.0927822069495143,0.01836895408987367,-5.051033743976895,4.3942542708884173e-07,13283,0.004908325573028227,emergency,ses
const,0.05096848916053165,0.014381249968580388,3.5440931262501993,0.000393966062825578,13393,0.02708923529132201,emergency,ses
ses_census_share_u15,0.24414138514580758,0.02099877083428094,11.626460761562367,3.023763488661411e-31,13393,0.02708923529132201,emergency,ses
