term,coef,se,t,p,n,r2,regime,model
const,1.0473682496763563,0.01010702148443968,103.62778502933212,0.0,44054,0.2466345017755983,everyday,density
ses_log10_density,-0.9882016044247013,0.009846146472923338,-100.36430060656029,0.0,44054,0.2466345017755983,everyday,density
const,0.0336560173258244,0.007441481994980588,4.522757341686237,6.10392046687418e-06,37328,0.03898650286357341,everyday,ses
ses_census_employment_share,0.29650293517394993,0.01274387463056688,23.266309797396424,9.727809597155732e-120,37328,0.03898650286357341,everyday,ses
const,0.2751214063826894,0.007830182758418909,35.13601340746261,1.901094282820288e-270,38321,0.24768934605834203,everyday,ses
ses_census_foreign_born_share,-0.5065134084406607,0.005812551289071774,-87.14132284612452,0.0,38321,0.24768934605834203,everyday,ses
const,-0.006973395365939787,0.007755144912710077,-0.8991960104460377,0.3685482650050709,36562,0.004184243125628595,everyday,ses
ses_census_share_ge65,-0.08365875887848913,0.010377560841710912,-8.06150502555826,7.53607951620576e-16,36562,0.004184243125628595,everyday,ses
const,0.016121701159183887,0.007639860641101865,2.110208800465596,0.034840374842863654,36862,0.017530104734383878,everyday,ses
ses_census_share_u15,0.18385199518273848,0.014461014385287347,12.713630612925032,4.967351885394793e-37,36862,0.017530104734383878,everyday,ses
const,0.5650701664331188,0.011389970819512046,49.61120404848647,0.0,44054,0.07178930995904442,emergency,density
ses_log10_density,-0.5331489141992718,0.009568967444885772,-55.71645188156831,0.0,44054,0.07178930995904442,emergency,density
const,0.006419869185605546,0.006555162974626919,0.9793607283991176,0.32740177409674376,37328,0.001418538713128914,emergency,ses
ses_census_employment_share,0.05655779287659057,0.00880053032081501,6.426634624827108,1.304598858797949e-10,37328,0.001418538713128914,emergency,ses
const,0.1526620482841573,0.006936091954997898,22.009807435461482,2.3197514573154276e-107,38321,0.07626420210427931,emergency,ses
ses_census_foreign_born_share,-0.2810590983545023,0.007431044908404431,-37.82228499744733,0.0,38321,0.07626420210427931,emergency,ses
const,0.002588710196844781,0.006482550220894287,0.39933515493654914,0.6896462670315895,36562,0.0005766273033867009,emergency,ses
ses_census_share_ge65,0.031056360753889657,0.00622483202053701,4.98910824443588,6.065865265109735e-07,36562,0.0005766273033867009,emergency,ses
const,0.008601608894359077,0.006444336544713793,1.334754762523206,0.18195662374897126,36862,0.0049902483673639475,emergency,ses
ses_census_share_u15,0.0980928092758135,0.009471798930524227,10.356301901605553,3.9181923776551423e-25,36862,0.0049902483673639475,emergency,ses
