term,coef,se,t,p,n,r2,regime,model
const,1.7666926328702837,0.006229773456689084,283.5885839433432,0.0,232482,0.37014775302862224,everyday,density
ses_log10_density,-1.3332980545027295,0.004696906330872505,-283.8672863750838,0.0,232482,0.37014775302862224,everyday,density
const,0.019389858383094753,0.0037163007002916724,5.2175160049812295,1.8133855888920104e-07,168817,0.010599721289553998,everyday,ses
ses_census_employment_share,-0.18121974059415433,0.01411267341784916,-12.84092214342285,9.671553594847957e-38,168817,0.010599721289553998,everyday,ses
const,0.0026117691997434196,0.003442051675994191,0.7587826812591489,0.4479825673558212,170937,0.0003207713689911129,everyday,ses
ses_census_foreign_born_share,-0.028084957353830577,0.0074165673937907845,-3.7867865095304802,0.0001526081104670289,170937,0.0003207713689911129,everyday,ses
const,0.031194636515625252,0.003509863462541223,8.887706558545046,6.238317411578965e-19,170937,0.035256173379912714,everyday,ses
ses_census_share_ge65,-0.3489803885602877,0.012737873459564432,-27.397068252256055,2.9722246481114465e-165,170937,0.035256173379912714,everyday,ses
const,0.026495947234580756,0.0033539361140886704,7.899955852850292,2.79002229835358e-15,170937,0.029958413018801533,everyday,ses
ses_census_share_u15,0.2949245763863423,0.006912653370304516,42.66445322620745,0.0,170937,0.029958413018801533,everyday,ses
const,1.379906696748909,0.007088412681878957,194.67076180208107,0.0,232482,0.22581488502746827,emergency,density
ses_log10_density,-1.0413961545656678,0.004973339453087647,-209.3957519668455,0.0,232482,0.22581488502746827,emergency,density
const,0.016418630909793126,0.0032589348379594976,5.0380359614901815,4.703330890753588e-07,168817,0.00760009554047858,emergency,ses
ses_census_employment_share,-0.15345032313273574,0.009513260693596898,-16.130150121505526,1.5663924182237532e-58,168817,0.00760009554047858,emergency,ses
const,0.012626562635313022,0.0030315950452445553,4.164989864038537,3.113663975833112e-05,170937,0.0074971513877949425,emergency,ses
ses_census_foreign_born_share,-0.13577634393311336,0.00708560388595146,-19.162282582902417,7.64460687582814e-82,170937,0.0074971513877949425,emergency,ses
const,0.025564497343403682,0.002994172758730563,8.538083605517219,1.3646617082163002e-17,170937,0.023678262452507925,emergency,ses
ses_census_share_ge65,-0.28599494056552666,0.007764367138293615,-36.83428867692366,5.219518916219307e-297,170937,0.023678262452507925,emergency,ses
const,0.02042455397314683,0.002948549476389331,6.926983636088709,4.299082887020432e-12,170937,0.017801847074709,emergency,ses
ses_census_share_u15,0.22734431326722201,0.005115292837708596,44.44404660302132,0.0,170937,0.017801847074709,emergency,ses
