term,coef,se,t,p,n,r2,regime,model
const,1.0181940189935326,0.011521843693070207,88.37075437899956,0.0,150260,0.0886832619005028,everyday,density
ses_log10_density,-0.9663810411289829,0.011749261656115425,-82.2503634197292,0.0,150260,0.0886832619005028,everyday,density
const,0.00026201952439427534,0.004212691037754329,0.06219765989151457,0.9504054260198517,147690,0.006728373509794494,everyday,ses
ses_census_employment_share,-0.20192758499193145,0.019540209669229237,-10.333951805538454,4.9479177829449845e-25,147690,0.006728373509794494,everyday,ses
const,0.061843808925001416,0.004350535758909842,14.215216780679501,7.372279316978758e-46,148065,0.042549296044388396,everyday,ses
ses_census_foreign_born_share,-0.26566744788395574,0.005973515062582774,-44.4742241545615,0.0,148065,0.042549296044388396,everyday,ses
const,0.031841666856352965,0.004480457040146369,7.106789903583754,1.187730253681933e-12,148065,0.03747216266539355,everyday,ses
ses_census_share_ge65,-0.38140000373014804,0.010483175699523763,-36.38210544801558,8.168261490610576e-290,148065,0.03747216266539355,everyday,ses
const,0.006979373766574738,0.004265485927182195,1.6362435337315375,0.1017886286250822,148065,0.011458639755624445,everyday,ses
ses_census_share_u15,0.2512792014954511,0.012561921292062685,20.003245972749657,5.160218268216908e-89,148065,0.011458639755624445,everyday,ses
const,1.1912034498838118,0.00975082152411461,122.16441937101038,0.0,150260,0.12138148895238443,emergency,density
ses_log10_density,-1.130586517521536,0.009192604497286691,-122.9887044368375,0.0,150260,0.12138148895238443,emergency,density
const,0.0005983523892501877,0.00410087957730369,0.14590830527230494,0.8839937751012574,147690,0.03508785691781857,emergency,ses
ses_census_employment_share,-0.4611253806930515,0.01991370435368008,-23.156182923235722,1.2595161996116624e-118,147690,0.03508785691781857,emergency,ses
const,0.08731129398571684,0.00408124547730541,21.39329635309342,1.5426285910757846e-101,148065,0.08480877091723216,emergency,ses
ses_census_foreign_born_share,-0.37507018160477346,0.004623577147616074,-81.12121191665643,0.0,148065,0.08480877091723216,emergency,ses
const,0.01715630843962177,0.004389952388226454,3.908085309907641,9.303045948866758e-05,148065,0.01087839592493467,emergency,ses
ses_census_share_ge65,-0.20549854165570403,0.008164572696281099,-25.16954031768338,8.636823654243243e-140,148065,0.01087839592493467,emergency,ses
const,0.008515471985869485,0.004157592705138298,2.04817368842921,0.040542983605224084,148065,0.017057587259502793,emergency,ses
ses_census_share_u15,0.3065835234693718,0.010479695428553546,29.25500321641388,3.87824951707988e-188,148065,0.017057587259502793,emergency,ses
