term,coef,se,t,p,n,r2,regime,model
const,1.337222199281609,0.007381915956622266,181.14839116828418,0.0,139118,0.3187536695330815,everyday,density
ses_log10_density,-1.2678071845095809,0.006947215564733407,-182.4914129547716,0.0,139118,0.3187536695330815,everyday,density
const,0.26328918518910743,0.007417824944315589,35.494122221214,6.056783525142136e-276,130977,0.15651557710063224,everyday,ses
ses_census_foreign_born_share,-0.48379057308822815,0.015247522776090455,-31.72912611397158,6.163016221083717e-221,130977,0.15651557710063224,everyday,ses
const,-0.002893145216234695,0.0032521706543547466,-0.8896043669666268,0.3736783605318895,130977,0.001323285963356624,everyday,ses
ses_census_share_ge65,-0.059256600251902644,0.0071501052218065535,-8.287514437015629,1.1563956846573703e-16,130977,0.001323285963356624,everyday,ses
const,0.019267666008674307,0.003184135426340074,6.051145265143779,1.4381968514088574e-09,130977,0.013247014670681234,everyday,ses
ses_census_share_u15,0.20982172996635617,0.009231018948651108,22.73007250158625,2.2596189926815103e-114,130977,0.013247014670681234,everyday,ses
const,0.5692184965955519,0.006007586175391914,94.74995114130311,0.0,139118,0.05775718863266932,emergency,density
ses_log10_density,-0.5396704451416356,0.005091258001725589,-105.99942979882854,0.0,139118,0.05775718863266932,emergency,density
const,0.11725995408427059,0.005830625665217391,20.111041390255096,5.907057129855862e-90,130977,0.03104495005524477,emergency,ses
ses_census_foreign_born_share,-0.21546369383149117,0.008437078284857333,-25.537714189306538,7.518413811782229e-144,130977,0.03104495005524477,emergency,ses
const,0.0032382454887463353,0.004127084890371036,0.7846326341145865,0.4326689905388751,130977,0.00165780245515057,emergency,ses
ses_census_share_ge65,0.06632484859985775,0.007068050540127368,9.383754151630976,6.366461591396453e-21,130977,0.00165780245515057,emergency,ses
const,0.012727321363432366,0.0040943215610599925,3.108529990530921,0.0018802056237058205,130977,0.005780079589221998,emergency,ses
ses_census_share_u15,0.13859844701018292,0.006848032088216454,20.239164364996487,4.426100350782208e-91,130977,0.005780079589221998,emergency,ses
