term,coef,se,t,p,n,r2,regime,model
const,1.0786586065189838,0.030033980097499958,35.914607488495065,1.807186935821996e-282,85967,0.11048067898438418,everyday,density
ses_log10_density,-0.9863703158553124,0.03126922400504044,-31.54444496915928,2.136896944984598e-218,85967,0.11048067898438418,everyday,density
const,0.0038384386546079672,0.006332502592017019,0.6061487695949531,0.5444159683568655,82861,0.03688305895909594,everyday,ses
ses_census_employment_share,-0.2688119180073119,0.009353445548869781,-28.73934707833881,1.230721999338636e-181,82861,0.03688305895909594,everyday,ses
const,-0.001522310688858945,0.007321802622929214,-0.20791474002476157,0.8352955397905699,83050,5.103407657158776e-05,everyday,ses
ses_census_foreign_born_share,-0.01370321243932553,0.018442700940066233,-0.7430154880164921,0.4574723035708923,83050,5.103407657158776e-05,everyday,ses
const,0.16336857451849437,0.006826644811442906,23.93102014691814,1.4566708912573689e-126,83050,0.126359115085248,everyday,ses
ses_census_share_ge65,-0.5523611674935665,0.008815393349923331,-62.65870909757764,0.0,83050,0.126359115085248,everyday,ses
const,0.12615270683629,0.006391150550592893,19.738653601985185,1.0041831596228908e-86,83050,0.1145661520680421,everyday,ses
ses_census_share_u15,0.6400500219057295,0.010376643794249829,61.68179563611987,0.0,83050,0.1145661520680421,everyday,ses
const,0.6223274749422757,0.01747236851005018,35.61780846050209,7.426779201970156e-278,85967,0.036775302899449636,emergency,density
ses_log10_density,-0.5690821399045206,0.019749623699659356,-28.814834579067764,1.3983018443379068e-182,85967,0.036775302899449636,emergency,density
const,-0.002059009213147027,0.006981108537489023,-0.29494015199592,0.7680395986654956,82861,0.01061290567375528,emergency,ses
ses_census_employment_share,0.14419566536938852,0.007503406544680822,19.217360076485402,2.6490958473885375e-82,82861,0.01061290567375528,emergency,ses
const,0.028548029435696558,0.009293376795822244,3.071868284575535,0.0021272356908848575,83050,0.017947581705695326,emergency,ses
ses_census_foreign_born_share,0.2569775768799711,0.02543016647056205,10.105225900799674,5.237472357655712e-24,83050,0.017947581705695326,emergency,ses
const,-0.010119375323626788,0.006658631234156064,-1.51973806143799,0.12857682157292907,83050,0.0004848160006271085,emergency,ses
ses_census_share_ge65,0.03421435232901049,0.006524761399780855,5.243770650396447,1.573277458414511e-07,83050,0.0004848160006271085,emergency,ses
const,-0.02978980283305829,0.005566848831509858,-5.351286470083401,8.733114437071835e-08,83050,0.0063884932054252275,emergency,ses
ses_census_share_u15,-0.15114193293220166,0.013219344859768034,-11.433390575367275,2.8476799305791175e-30,83050,0.0063884932054252275,emergency,ses
