term,coef,se,t,p,n,r2,regime,model
const,1.2810281489094761,0.022077897913939715,58.023103191389005,0.0,23053,0.3216665314340813,everyday,density
ses_log10_density,-0.9920736084881849,0.022496945325071876,-44.098147288581515,0.0,23053,0.3216665314340813,everyday,density
const,0.18836433848524353,0.013380701129154958,14.077314534349775,5.236204771729937e-45,20560,0.13360224675828858,everyday,ses
ses_census_employment_share,0.5988510599858846,0.02312196641168337,25.8996596277075,6.718755268089056e-148,20560,0.13360224675828858,everyday,ses
const,0.26668231079259763,0.013295136943192381,20.058635870550336,1.696751438154487e-89,21254,0.19276408125528266,everyday,ses
ses_census_foreign_born_share,-0.39678198099808587,0.01361094837247521,-29.15167776262231,7.954812603516487e-187,21254,0.19276408125528266,everyday,ses
const,0.020100056510425925,0.013407459075686492,1.4991697082168238,0.13382961129063978,21254,0.00759103634795244,everyday,ses
ses_census_share_ge65,0.14538435870328179,0.01774800330153607,8.19158956831493,2.577984591809452e-16,21254,0.00759103634795244,everyday,ses
const,-0.0028875296233344216,0.013424748894166488,-0.21509002858065762,0.8296971280121254,21254,0.0035894548722678055,everyday,ses
ses_census_share_u15,0.09632356482569038,0.018390853977817558,5.237579774265659,1.6269598388508292e-07,21254,0.0035894548722678055,everyday,ses
const,0.8368717524115801,0.017832876292672405,46.92859069265533,0.0,23053,0.13727970848907722,emergency,density
ses_log10_density,-0.6481031505541537,0.012869506843058919,-50.359594851430046,0.0,23053,0.13727970848907722,emergency,density
const,0.10221233399474014,0.011252237802630672,9.083733901432817,1.0491256572311623e-19,20560,0.03933897165331657,emergency,ses
ses_census_employment_share,0.3249551642768976,0.018551780589494363,17.516117264825542,1.079457230185157e-68,20560,0.03933897165331657,emergency,ses
const,0.1567946343562986,0.010344945962104791,15.156641216944262,6.8483073886403e-52,21254,0.0666346447745313,emergency,ses
ses_census_foreign_born_share,-0.2332861352703173,0.006865302990060905,-33.9804573240325,4.33121214873472e-253,21254,0.0666346447745313,emergency,ses
const,0.07206962766275313,0.01057226616095882,6.816857101923074,9.305373916408308e-12,21254,0.09759129271553968,emergency,ses
ses_census_share_ge65,0.5212819473566629,0.025603900192995452,20.359474276472607,3.826675108351846e-92,21254,0.09759129271553968,emergency,ses
const,0.005437374648772139,0.009486057134240083,0.5731964895241716,0.5665116610117689,21254,0.01272782269958106,emergency,ses
ses_census_share_u15,-0.18138248876482138,0.016369551726672944,-11.080479892999902,1.5603398152232521e-28,21254,0.01272782269958106,emergency,ses
