term,coef,se,t,p,n,r2,regime,model
const,1.0381592205902055,0.008419621306545466,123.30236512931216,0.0,94240,0.20571840399643326,everyday,density
ses_log10_density,-0.9675146898775605,0.008255712646915806,-117.19335825466352,0.0,94240,0.20571840399643326,everyday,density
const,0.022283705028355753,0.004893275378406087,4.553944608695688,5.264922447200279e-06,89678,0.024839987928186424,everyday,ses
ses_census_employment_share,0.24670437198267223,0.013400416610928162,18.410201648617594,1.0881666858232214e-75,89678,0.024839987928186424,everyday,ses
const,0.03900369134259358,0.004706042354041053,8.28800261627508,1.1516604678977596e-16,90576,0.022457008514059962,everyday,ses
ses_census_foreign_born_share,-0.17066030593647172,0.008665107503826052,-19.69511698050107,2.3744786057745984e-86,90576,0.022457008514059962,everyday,ses
const,-0.00516338422662904,0.004535929866423951,-1.1383298196142004,0.25498278681816733,90576,0.0009387936923743734,everyday,ses
ses_census_share_ge65,-0.04284935707236615,0.008463823528589216,-5.062647741606264,4.134734132268062e-07,90576,0.0009387936923743734,everyday,ses
const,0.0015146555864952315,0.004334296456992543,0.34945823423121636,0.7267453209292558,90576,0.032206995753416456,everyday,ses
ses_census_share_u15,0.25281550296233424,0.008220108845895368,30.755736657742094,1.0248264535388016e-207,90576,0.032206995753416456,everyday,ses
const,0.8481219951756301,0.008297119419739781,102.21884876790521,0.0,94240,0.1372972592436491,emergency,density
ses_log10_density,-0.7904090941601262,0.006928303664676666,-114.08407200595954,0.0,94240,0.1372972592436491,emergency,density
const,0.001546675473919293,0.004531471473459178,0.3413185944076155,0.7328637511824647,89678,0.00011966715775002523,emergency,ses
ses_census_employment_share,0.017123346452876397,0.0061178004765103135,2.798938363325607,0.0051270923294554896,89678,0.00011966715775002523,emergency,ses
const,0.053784021454022404,0.004585350338954049,11.729533727686972,8.995281405601414e-32,90576,0.04270188284187704,emergency,ses
ses_census_foreign_born_share,-0.23533150940033207,0.00647241483723333,-36.359151154304854,1.883559347825473e-289,90576,0.04270188284187704,emergency,ses
const,0.018047032403698433,0.0045286356833783336,3.9850925677102516,6.745382465369655e-05,90576,0.011468665121433852,emergency,ses
ses_census_share_ge65,0.1497668392707438,0.007614562354208152,19.66847630947245,4.016700594429282e-86,90576,0.011468665121433852,emergency,ses
const,0.0007121844025126866,0.004322322290589637,0.16476892620044137,0.8691258630039554,90576,0.007120448505720689,emergency,ses
ses_census_share_u15,0.11887273881173505,0.005897722546835319,20.15570211513619,2.39832205872912e-90,90576,0.007120448505720689,emergency,ses
