term,coef,se,t,p,n,r2,regime,model
const,1.840144249062705,0.028361629186242084,64.88147196971812,0.0,42406,0.20619075782222596,everyday,density
ses_log10_density,-1.2160316993162001,0.02203029287658537,-55.19816309880495,0.0,42406,0.20619075782222596,everyday,density
const,-0.02638529467785182,0.010051111937438401,-2.6251120116941316,0.00866204663078515,39263,0.051607671335376915,everyday,ses
ses_census_employment_share,-0.41495350410357934,0.016832863561951253,-24.651391165644203,3.5558556186503485e-134,39263,0.051607671335376915,everyday,ses
const,0.03535772131528163,0.011096936220968419,3.186259757758254,0.0014412513148388754,39542,0.046276009877607494,everyday,ses
ses_census_foreign_born_share,-0.27962942186158846,0.01093082220990277,-25.581737264764804,2.4361534086742487e-144,39542,0.046276009877607494,everyday,ses
const,0.12307235630100617,0.011858238653937401,10.378637156213863,3.1017123435302337e-25,39542,0.09831039651876006,everyday,ses
ses_census_share_ge65,-0.7566502350821415,0.02413687025274031,-31.348315964711183,1.0256957571195722e-215,39542,0.09831039651876006,everyday,ses
const,-0.020228847798431454,0.010161559185175017,-1.9907228241059587,0.04651136803006447,39542,0.090540963754838,everyday,ses
ses_census_share_u15,0.7089221691952494,0.023082523001193643,30.71250786400558,3.87492340043653e-207,39542,0.090540963754838,everyday,ses
const,0.9045397097413251,0.024832923439807735,36.425019065267506,1.7106450116552852e-290,42406,0.04982195120804134,emergency,density
ses_log10_density,-0.5977514865456852,0.017419067537053027,-34.315929097477586,4.54128801246767e-258,42406,0.04982195120804134,emergency,density
const,-0.010029882143402499,0.009484250430196238,-1.057530293745625,0.29026963650129445,39263,0.007457307046781714,emergency,ses
ses_census_employment_share,-0.15773690580171476,0.02014171780239502,-7.831353181949482,4.826467400962084e-15,39263,0.007457307046781714,emergency,ses
const,-0.004296286110088976,0.010096154998450986,-0.4255368613841743,0.6704453561843011,39542,0.0006832407472384672,emergency,ses
ses_census_foreign_born_share,0.033977528992991946,0.009824803142016746,3.458341963889706,0.0005435110363066197,39542,0.0006832407472384672,emergency,ses
const,0.02358488221518393,0.011466394257860798,2.0568699876175365,0.03969873360722647,39542,0.0036103211875581076,emergency,ses
ses_census_share_ge65,-0.1450001219514932,0.015296153014535262,-9.479515654276337,2.554660694483325e-21,39542,0.0036103211875581076,emergency,ses
const,-0.005280221458199952,0.01004715456034157,-0.5255439663526428,0.5992050977459438,39542,0.006168890974233787,emergency,ses
ses_census_share_u15,0.18504593475999415,0.02369001732104715,7.811135477541082,5.667505424143331e-15,39542,0.006168890974233787,emergency,ses
