term,coef,se,t,p,n,r2,regime,model
const,1.7622693716926665,0.009861267189949032,178.7061781967369,0.0,99526,0.4342874337140845,everyday,density
ses_log10_density,-0.9669865378539595,0.006183386014227838,-156.38463062615602,0.0,99526,0.4342874337140845,everyday,density
const,0.023162495124789566,0.007572219732979111,3.058877837882925,0.0022216772460151735,88118,0.01858194259893231,everyday,ses
ses_census_employment_share,0.2854958578672282,0.014057472643241656,20.309188224135344,1.066524899608938e-91,88118,0.01858194259893231,everyday,ses
const,0.0033261588908704153,0.007224964431366425,0.46037027897746396,0.6452504640803634,89653,0.0032516962629211,everyday,ses
ses_census_foreign_born_share,-0.09174566864006291,0.010909811940251753,-8.409463805839517,4.118893032192803e-17,89653,0.0032516962629211,everyday,ses
const,0.013852054881539202,0.007506866061162207,1.8452513697033561,0.06500098101434558,89653,0.00545732107010477,everyday,ses
ses_census_share_ge65,0.1930032575036237,0.013524615105891927,14.270517570554954,3.3408985138837366e-46,89653,0.00545732107010477,everyday,ses
const,0.0003704145043036303,0.007427822038561874,0.04986852167171031,0.9602271621468248,89653,0.001163520138397267,everyday,ses
ses_census_share_u15,-0.08614491590305806,0.01655941569377728,-5.20217122971493,1.9697361304686265e-07,89653,0.001163520138397267,everyday,ses
const,1.1606408478861978,0.009582461754754457,121.12136500939661,0.0,99526,0.18837721803214325,emergency,density
ses_log10_density,-0.6368629525186394,0.004617335782837954,-137.92866329665205,0.0,99526,0.18837721803214325,emergency,density
const,-0.02625360207571937,0.007797648101744081,-3.366861614317693,0.0007602883018851392,88118,0.023872517979568686,emergency,ses
ses_census_employment_share,-0.3235961672665589,0.014764583111255364,-21.91705413069702,1.786505541969793e-106,88118,0.023872517979568686,emergency,ses
const,-0.008273656461190649,0.008109724521955184,-1.0202142426406293,0.3076268642963035,89653,0.020119582148510173,emergency,ses
ses_census_foreign_born_share,0.22821283319135324,0.010309227068628756,22.136754935373457,1.3995761639633195e-108,89653,0.020119582148510173,emergency,ses
const,0.0163533948360198,0.008214905573748437,1.9906978466409557,0.04651411560545395,89653,0.007606186032350304,emergency,ses
ses_census_share_ge65,0.2278548924030846,0.01297557358449796,17.56029441930066,4.9617208295734e-69,89653,0.007606186032350304,emergency,ses
const,2.3284162090878493e-05,0.008102664556989256,0.00287364260572701,0.9977071680872585,89653,4.597472756717735e-06,emergency,ses
ses_census_share_u15,-0.005415047634163658,0.012488542095418347,-0.4336012636855561,0.6645780169646329,89653,4.597472756717735e-06,emergency,ses
