term,coef,se,t,p,n,r2,regime,model
const,1.4237407992885582,0.003929526717431693,362.3186459002126,0.0,446321,0.37949579422465574,everyday,density
ses_log10_density,-1.2541040919594024,0.003489921558642329,-359.3502234609771,0.0,446321,0.37949579422465574,everyday,density
const,0.36074380717944615,0.0027327583235822496,132.00721193177571,0.0,421620,0.1891724460473635,everyday,ses
ses_census_foreign_born_share,-0.46728795530034395,0.002514654005221794,-185.8259443764427,0.0,421620,0.1891724460473635,everyday,ses
const,0.009180459329113815,0.001988079144605462,4.617753450120163,3.879167501728435e-06,421620,0.0019109061971035457,everyday,ses
ses_census_share_ge65,0.0635620892022421,0.0028458828245051834,22.334752736453126,1.6986611736812597e-110,421620,0.0019109061971035457,everyday,ses
const,0.008628676352806888,0.0017598966162405611,4.902945021417912,9.441041456896481e-07,421501,0.009867870850457483,everyday,ses
ses_census_share_u15,0.13343461332044007,0.0027348093253105094,48.79119435695574,0.0,421501,0.009867870850457483,everyday,ses
const,1.0518588128524238,0.0038522679733340635,273.0492323310676,0.0,446321,0.20713810846593672,emergency,density
ses_log10_density,-0.9265313194796109,0.0028559332299514005,-324.42331275909333,0.0,446321,0.20713810846593672,emergency,density
const,0.3308380951521439,0.0028169397495516396,117.44592521185517,0.0,421620,0.159107676613937,emergency,ses
ses_census_foreign_born_share,-0.42854971850481216,0.002222631638210675,-192.81185021275735,0.0,421620,0.159107676613937,emergency,ses
const,0.0136399205223264,0.0019537537004553048,6.981392034803434,2.9226947098184883e-12,421620,0.004218268564169958,emergency,ses
ses_census_share_ge65,0.0944377414975468,0.0036936437138528505,25.567636949758352,3.495866020832756e-144,421620,0.004218268564169958,emergency,ses
const,0.00920062084863878,0.0018970376310601833,4.849993852518834,1.23465300867034e-06,421501,0.011219393122308241,emergency,ses
ses_census_share_u15,0.14227921352580994,0.004734531727602095,30.051380307862104,2.0945002829505075e-198,421501,0.011219393122308241,emergency,ses
