term,coef,se,t,p,n,r2,regime,model
const,0.9353631498307563,0.010058435831437094,92.99290322132688,0.0,77407,0.1805112842554284,everyday,density
ses_log10_density,-0.8302582596701636,0.010836909557888217,-76.61393271163884,0.0,77407,0.1805112842554284,everyday,density
const,0.004608452458814575,0.006461651106430166,0.7132004472090079,0.4757217296013099,77153,0.01419731276746039,everyday,ses
ses_census_employment_share,-0.13945716541513425,0.007674190531320923,-18.172231305173256,8.564364615044326e-74,77153,0.01419731276746039,everyday,ses
const,0.24609410921068978,0.0058793751093016,41.85718798947714,0.0,77172,0.2871574199694108,everyday,ses
ses_census_foreign_born_share,-0.4731875318460749,0.005112502655641822,-92.55497037715888,0.0,77172,0.2871574199694108,everyday,ses
const,0.03305177060455107,0.006257502848699047,5.281942558191984,1.2782127871406727e-07,77172,0.056785026513821,everyday,ses
ses_census_share_ge65,-0.2766911193467911,0.007488893492216782,-36.946862661934844,8.179321577957211e-299,77172,0.056785026513821,everyday,ses
const,0.004335903364944525,0.0063526997870118045,0.6825292411596953,0.4949043593766921,77172,0.01385456510789762,everyday,ses
ses_census_share_u15,0.14837415926796804,0.008754565121096913,16.948204418562522,1.9842174425891926e-64,77172,0.01385456510789762,everyday,ses
const,1.1452607193763447,0.00883246640614379,129.6648825722916,0.0,77407,0.27061544170078455,emergency,density
ses_log10_density,-1.0165700582816963,0.008648720120398686,-117.53994164801749,0.0,77407,0.27061544170078455,emergency,density
const,0.0019663286002007015,0.006315870954116528,0.31133134519144934,0.7555487404906137,77153,0.0025846879542714696,emergency,ses
ses_census_employment_share,-0.05950340495196086,0.00792520903267647,-7.50811804541963,5.99834059458116e-14,77153,0.0025846879542714696,emergency,ses
const,0.18977756604927032,0.006012591742264746,31.563354736902085,1.1759540158719895e-218,77172,0.17076833785771284,emergency,ses
ses_census_foreign_born_share,-0.36490259099102856,0.004174818448558262,-87.40561906758953,0.0,77172,0.17076833785771284,emergency,ses
const,0.021626681080880495,0.006036996026823295,3.5823580113006286,0.0003405067012451573,77172,0.024312192458886717,emergency,ses
ses_census_share_ge65,-0.1810465970982205,0.006980077488885552,-25.93761994569585,2.50819365323307e-148,77172,0.024312192458886717,emergency,ses
const,0.001627993475529485,0.006201282673740529,0.2625252808460514,0.7929164973512183,77172,0.001953165431027082,emergency,ses
ses_census_share_u15,0.05570976631500015,0.0075243877336306185,7.403893617284318,1.3224838327031228e-13,77172,0.001953165431027082,emergency,ses
