term,coef,se,t,p,n,r2,regime,model
const,1.3993679401982837,0.005790690172179362,241.65823046816936,0.0,129450,0.40898231653148776,everyday,density
ses_log10_density,-1.2756169517105216,0.005050909551020988,-252.55192927631603,0.0,129450,0.40898231653148776,everyday,density
const,0.025210112877076876,0.004281308350697368,5.88841326342927,3.899210961640062e-09,124268,0.025417628307461082,everyday,ses
ses_census_employment_share,-0.2788762301470776,0.008759284998405068,-31.83778472761837,1.9429223580934645e-222,124268,0.025417628307461082,everyday,ses
const,0.17161296992046052,0.004705515774192881,36.47059709408723,3.244585864408682e-291,124596,0.12722936504566862,everyday,ses
ses_census_foreign_born_share,-0.40719065038937535,0.007777837820270863,-52.35267947194031,0.0,124596,0.12722936504566862,everyday,ses
const,0.004884967052411718,0.004256459879789434,1.1476596021981949,0.2511091143476222,124596,0.0108203675306624,everyday,ses
ses_census_share_ge65,-0.15426418958308874,0.006033058322333834,-25.56981572878497,3.306160594416889e-144,124596,0.0108203675306624,everyday,ses
const,0.08439931711831726,0.0038355480068831124,22.004500260942585,2.607771503809496e-107,124596,0.07307198678591553,everyday,ses
ses_census_share_u15,0.38705174551697524,0.005840450605974366,66.27087045664744,0.0,124596,0.07307198678591553,everyday,ses
const,0.9595499973518434,0.006002249138772821,159.86507310291796,0.0,129450,0.19229850497193135,emergency,density
ses_log10_density,-0.8746936438049027,0.004385493958248318,-199.45156740206258,0.0,129450,0.19229850497193135,emergency,density
const,0.03147991327775132,0.0042995165034272215,7.32173332807494,2.447882385198459e-13,124268,0.03963259402861263,emergency,ses
ses_census_employment_share,-0.3482332500081287,0.009906209348416841,-35.15302753659063,1.0449749470681733e-270,124268,0.03963259402861263,emergency,ses
const,0.1901323575405342,0.004566015981276395,41.64075603769222,0.0,124596,0.15617057589482186,emergency,ses
ses_census_foreign_born_share,-0.4511320931213891,0.007480774998306543,-60.30552893564021,0.0,124596,0.15617057589482186,emergency,ses
const,0.002392476065695929,0.004239130863713927,0.5643789122376531,0.5724962872046642,124596,0.0025954575987714446,emergency,ses
ses_census_share_ge65,-0.07555289061556668,0.00626517072090025,-12.059191039044887,1.7347846699369832e-33,124596,0.0025954575987714446,emergency,ses
const,0.08983463686185705,0.003944750431189134,22.773211747840953,8.452005701507335e-115,124596,0.08278672137742193,emergency,ses
ses_census_share_u15,0.4119778949931694,0.005332027465228655,77.26477361187082,0.0,124596,0.08278672137742193,emergency,ses
