term,coef,se,t,p,n,r2,regime,model
const,1.4825661866130995,0.005702631809139185,259.9792931111387,0.0,156305,0.4866256556419556,everyday,density
ses_log10_density,-1.0419008611418688,0.004643490191681456,-224.37882242292096,0.0,156305,0.4866256556419556,everyday,density
const,0.017767964609766103,0.005753711467514897,3.0880875257793066,0.002014491296599349,112665,0.012373761590264376,everyday,ses
ses_census_employment_share,-0.1953624843490742,0.009361208264592625,-20.86936630691186,1.01672550492505e-96,112665,0.012373761590264376,everyday,ses
const,0.24050105859224832,0.008704898123676374,27.62824506103198,5.095701134415039e-168,112668,0.12110376291474212,everyday,ses
ses_census_foreign_born_share,-0.3661728447371928,0.012236664438635872,-29.92423683541111,9.523043413229533e-197,112668,0.12110376291474212,everyday,ses
const,0.048158878174714266,0.006255906694663638,7.698145213034325,1.380554328201527e-14,112668,0.0465933345027153,everyday,ses
ses_census_share_ge65,-0.3101851627803205,0.007634291769442548,-40.63050930564186,0.0,112668,0.0465933345027153,everyday,ses
const,0.02430506641237908,0.0056652818743858835,4.290177779550245,1.7853014436997726e-05,112668,0.013447543465667344,everyday,ses
ses_census_share_u15,0.18246908245970014,0.007234751277756851,25.2211963417041,2.3454998158384014e-140,112668,0.013447543465667344,everyday,ses
const,0.9748686894174773,0.006414383591567511,151.98166363157029,0.0,156305,0.21040645746758935,emergency,density
ses_log10_density,-0.6851070368228919,0.00380434923654375,-180.08521148424094,0.0,156305,0.21040645746758935,emergency,density
const,0.029351720419020278,0.004232475341756099,6.934882792924184,4.0655809286999016e-12,112665,0.033767080025775664,emergency,ses
ses_census_employment_share,-0.322728300450769,0.010398606725588474,-31.035725166585266,1.7777890542859352e-211,112665,0.033767080025775664,emergency,ses
const,0.23925564672498056,0.006564974982789793,36.44425871419066,8.481935482480942e-291,112668,0.1198527617728059,emergency,ses
ses_census_foreign_born_share,-0.3642766534731029,0.007936120062483723,-45.90110162208122,0.0,112668,0.1198527617728059,emergency,ses
const,-0.010839032059978456,0.003951734845448574,-2.7428540840644593,0.0060907743954474475,112668,0.002360217740672188,emergency,ses
ses_census_share_ge65,0.06981281648023968,0.005787246620928843,12.063217805125236,1.651999258186782e-33,112668,0.002360217740672188,emergency,ses
const,-0.00756339567516484,0.0039946827551340285,-1.893365791174342,0.05830924141637015,112668,0.0013022158415476603,emergency,ses
ses_census_share_u15,-0.0567818184781452,0.0068428100803596395,-8.298026368015304,1.0585518617252964e-16,112668,0.0013022158415476603,emergency,ses
