term,coef,se,t,p,n,r2,regime,model
const,1.7475936103867027,0.027860234741345392,62.72716747046009,0.0,232523,0.30796338742068874,everyday,density
ses_log10_density,-1.137997924476462,0.020219683216394273,-56.28168909954854,0.0,232523,0.30796338742068874,everyday,density
const,0.1866199818816585,0.005812148863515917,32.10860324881068,3.3439299079829686e-226,224417,0.12184652722829825,everyday,ses
ses_census_employment_share,-0.7615722489722225,0.010513661580099636,-72.43644311452198,0.0,224417,0.12184652722829825,everyday,ses
const,0.018285918951058886,0.004804615668366628,3.805906697481039,0.00014128564113662234,225341,0.015863782971667795,everyday,ses
ses_census_foreign_born_share,-0.2196462690520015,0.00947724243959902,-23.176179194725197,7.918608899924422e-119,225341,0.015863782971667795,everyday,ses
const,0.06277573623553287,0.00453166496435013,13.852686976945419,1.2254097305537101e-43,225341,0.06673867340818485,everyday,ses
ses_census_share_ge65,-0.4804685603522429,0.008109191595058915,-59.249871546382195,0.0,225341,0.06673867340818485,everyday,ses
const,0.016226700341479137,0.004514477454800208,3.594369559698524,0.00032517800650530787,225341,0.038874423113548384,everyday,ses
ses_census_share_u15,0.4298612395460538,0.01076786585456718,39.92074616751736,0.0,225341,0.038874423113548384,everyday,ses
const,1.0776417733398624,0.014773442764872592,72.94452555786215,0.0,232523,0.11710273204651434,emergency,density
ses_log10_density,-0.7017387189453815,0.010413214370268533,-67.38925119499727,0.0,232523,0.11710273204651434,emergency,density
const,0.18468273460383233,0.005334782351017074,34.61860718059523,1.326173135863729e-262,224417,0.11932995119764622,emergency,ses
ses_census_employment_share,-0.7536665909000613,0.010213563165553297,-73.79076025513893,0.0,224417,0.11932995119764622,emergency,ses
const,0.005507320728160861,0.004361112309114723,1.2628247882198684,0.20665215423649397,225341,0.001438977213804371,emergency,ses
ses_census_foreign_born_share,-0.06615267483416379,0.008677661951068576,-7.623329326169209,2.472150985508897e-14,225341,0.001438977213804371,emergency,ses
const,0.02145374320958868,0.004121034358295036,5.2059122405532605,1.930458695916017e-07,225341,0.007794712407485305,emergency,ses
ses_census_share_ge65,-0.16420116644117036,0.008357665242652336,-19.64677474795108,6.160514663506386e-86,225341,0.007794712407485305,emergency,ses
const,0.0025438530327816524,0.004297737200470857,0.5919052082809878,0.5539140659732089,225341,0.0009554051083413562,emergency,ses
ses_census_share_u15,0.06738916692133737,0.010229438331797727,6.587768041170093,4.464874564499126e-11,225341,0.0009554051083413562,emergency,ses
