term,coef,se,t,p,n,r2,regime,model
const,0.9622653243652443,0.020196512712773368,47.64512260359956,0.0,10918,0.17365956323872078,everyday,density
ses_log10_density,-1.151191619789704,0.028142181176025818,-40.906268515192366,0.0,10918,0.17365956323872078,everyday,density
const,0.009669009757742467,0.013680061410760983,0.7067957860289026,0.4796933936854645,10211,0.0065016187731488095,everyday,ses
ses_census_employment_share,0.1222017391590874,0.024095473370665463,5.0715641597587116,3.9455919550168607e-07,10211,0.0065016187731488095,everyday,ses
const,0.012485921602326592,0.01342554496821626,0.9300122737576657,0.35236472965259513,10284,0.02058115134011429,everyday,ses
ses_census_foreign_born_share,-0.19282458812699205,0.026080156155269558,-7.3935365639300965,1.4297410999221494e-13,10284,0.02058115134011429,everyday,ses
const,0.00010706012680240014,0.013531141773266867,0.007912128081749622,0.9936871010269883,10284,0.004772479444088651,everyday,ses
ses_census_share_ge65,-0.09239158293061528,0.027772268368678434,-3.326756810214844,0.00087863016698569,10284,0.004772479444088651,everyday,ses
const,0.00589061193182278,0.013609506826382777,0.4328306680741366,0.6651377916346963,10284,0.01672231998055229,everyday,ses
ses_census_share_u15,-0.21567489788258584,0.03288757405937187,-6.557944878914705,5.455436532472307e-11,10284,0.01672231998055229,everyday,ses
const,0.5834646554814847,0.023855106428149146,24.458690102216167,4.0675054995878246e-132,10918,0.06384665339768236,emergency,density
ses_log10_density,-0.6980191479692411,0.028566963901016935,-24.434488396731332,7.357099480062572e-132,10918,0.06384665339768236,emergency,density
const,0.025842028913697575,0.011396739985810242,2.2674930678310425,0.023360121899788214,10211,0.046441979224831176,emergency,ses
ses_census_employment_share,0.32660437374410833,0.02125575774035273,15.365454279904137,2.79075619553147e-53,10211,0.046441979224831176,emergency,ses
const,0.02517071071026851,0.010815196131025764,2.3273466708625654,0.01994682166415313,10284,0.08364103828403435,emergency,ses
ses_census_foreign_born_share,-0.3887203588293241,0.020373970449788354,-19.07926389641751,3.7551009955290134e-81,10284,0.08364103828403435,emergency,ses
const,-3.1845155343025733e-06,0.011862944428522683,-0.0002684422533958669,0.9997858140731207,10284,4.222554882638008e-06,emergency,ses
ses_census_share_ge65,0.0027481980438498503,0.015453089430260645,0.17784133433333124,0.8588475846396225,10284,4.222554882638008e-06,emergency,ses
const,0.002400124064877069,0.01186951734460654,0.2022090701074442,0.8397532826752585,10284,0.0027761510140841272,emergency,ses
ses_census_share_u15,-0.08787652600258071,0.02229056876430253,-3.942318696834309,8.069764811682505e-05,10284,0.0027761510140841272,emergency,ses
