term,coef,se,t,p,n,r2,regime,model
const,1.7213787681500938,0.007570336136899361,227.38472070741255,0.0,80798,0.42791325460124174,everyday,density
ses_log10_density,-1.4304692642795525,0.0067879032501193485,-210.73801608094536,0.0,80798,0.42791325460124174,everyday,density
const,0.39606819492819245,0.006908290958890379,57.33229785559142,0.0,66369,0.22580072422257347,everyday,ses
ses_census_employment_share,-0.9406880738429794,0.013542646246977616,-69.46117152346926,0.0,66369,0.22580072422257347,everyday,ses
const,0.06391106271506891,0.006419175365325625,9.956273053435565,2.3677283282477503e-23,68788,0.04339210319733389,everyday,ses
ses_census_foreign_born_share,-0.2819630208144638,0.019209224552655023,-14.678521771743876,8.84987722469338e-49,68788,0.04339210319733389,everyday,ses
const,0.3442857805541993,0.007911632155931884,43.5164039187622,0.0,68788,0.10170336551388814,everyday,ses
ses_census_share_ge65,0.7439081280120304,0.009846549177873587,75.55013584695072,0.0,68788,0.10170336551388814,everyday,ses
const,0.13071784824472713,0.007649720496044178,17.087924756508933,1.8255577146006038e-65,68788,0.03667993387920587,everyday,ses
ses_census_share_u15,-0.34973769164329893,0.01247286947275926,-28.039874257252983,5.308238832549441e-173,68788,0.03667993387920587,everyday,ses
const,1.2624723405057168,0.01054592190582784,119.71189923263655,0.0,80798,0.23016887704426148,emergency,density
ses_log10_density,-1.0491170877152536,0.00750378267281418,-139.81176340782775,0.0,80798,0.23016887704426148,emergency,density
const,0.27672935873374255,0.006953403296587428,39.79768566991577,0.0,66369,0.11022899955535659,emergency,ses
ses_census_employment_share,-0.6572504704404317,0.012430516951506015,-52.87394506636369,0.0,66369,0.11022899955535659,emergency,ses
const,0.05520209436532844,0.003976316322620338,13.88272206899048,8.06229860136485e-44,68788,0.03237201499491538,emergency,ses
ses_census_foreign_born_share,-0.24354076776856906,0.010900943356829187,-22.34125614605606,1.4685525005135315e-110,68788,0.03237201499491538,emergency,ses
const,0.3939092292644513,0.00877416618582062,44.89420657441198,0.0,68788,0.1331341485504044,emergency,ses
ses_census_share_ge65,0.8511309322072009,0.01459826609306438,58.30356336712977,0.0,68788,0.1331341485504044,emergency,ses
const,0.1730178603701091,0.006217717517528388,27.826587470780694,2.0686786295373036e-170,68788,0.06425998761742346,emergency,ses
ses_census_share_u15,-0.4629120499720688,0.011570907083195003,-40.00654802978919,0.0,68788,0.06425998761742346,emergency,ses
