term,coef,se,t,p,n,r2,regime,model
const,1.118735427597929,0.017372446852802762,64.39711326084381,0.0,24637,0.21879030428406498,everyday,density
ses_log10_density,-1.0316066221454465,0.017729913189044325,-58.184527535244634,0.0,24637,0.21879030428406498,everyday,density
const,0.11214792375460932,0.01095330789039955,10.23872649949936,1.3297511306883848e-24,23202,0.09988235771847742,everyday,ses
ses_census_employment_share,0.46659364188422103,0.02261030742706694,20.636324534254623,1.2954716330667857e-94,23202,0.09988235771847742,everyday,ses
const,0.03573990815032366,0.009579828031075162,3.730746317615526,0.00019091338583076232,23419,0.010689622537046639,everyday,ses
ses_census_foreign_born_share,-0.1313459138979485,0.019118259938446357,-6.87018140358135,6.412031391097884e-12,23419,0.010689622537046639,everyday,ses
const,0.018947124551206992,0.009877342373872259,1.9182411456472646,0.055080441229411775,23419,0.018355457023924826,everyday,ses
ses_census_share_ge65,0.18008339145902966,0.019830116484656816,9.081307797579798,1.0727798297474755e-19,23419,0.018355457023924826,everyday,ses
const,0.00345962622704929,0.009176266910301278,0.37701891857194275,0.7061595456054108,23419,0.002146789071472588,everyday,ses
ses_census_share_u15,0.06743131444484723,0.021468816403060306,3.1408957615024895,0.0016843196877465933,23419,0.002146789071472588,everyday,ses
const,0.6641059240707343,0.017942426152888654,37.01316189972537,7.033310096573613e-300,24637,0.07709886740770788,emergency,density
ses_log10_density,-0.6123843512745295,0.014688405442569063,-41.69168353017773,0.0,24637,0.07709886740770788,emergency,density
const,0.057906510232295046,0.010003746388876565,5.788482432609732,7.102517511938891e-09,23202,0.026629382469637086,emergency,ses
ses_census_employment_share,0.24092117440544164,0.01771994273584909,13.596047007422644,4.226684642024777e-42,23202,0.026629382469637086,emergency,ses
const,0.08879499123124548,0.008904605201804814,9.971805511742197,2.025134334386552e-23,23419,0.06598305862884457,emergency,ses
ses_census_foreign_born_share,-0.3263259442014729,0.013762703149451576,-23.71089027045363,2.784020641280613e-124,23419,0.06598305862884457,emergency,ses
const,0.012474111726005805,0.008258084884581423,1.5105332411024353,0.13090741400249123,23419,0.007956056183579197,emergency,ses
ses_census_share_ge65,0.11856048863703915,0.010827748283682995,10.949690141550972,6.667530606079578e-28,23419,0.007956056183579197,emergency,ses
const,0.007590833303632973,0.007912920621806733,0.9592960256310243,0.3374096369853179,23419,0.010334986718843808,emergency,ses
ses_census_share_u15,0.14795236068961679,0.01163417717536601,12.717045516797556,4.7550151363869215e-37,23419,0.010334986718843808,emergency,ses
