term,coef,se,t,p,n,r2,regime,model
const,1.5355333807741438,0.0072395190460767195,212.1043360755144,0.0,142121,0.3805774179621272,everyday,density
ses_log10_density,-1.2163439577914694,0.006193646060250774,-196.3857711530615,0.0,142121,0.3805774179621272,everyday,density
const,0.04366790272184183,0.005888850560063134,7.415352499855875,1.2130173939693443e-13,132883,0.012010141744498215,everyday,ses
ses_census_employment_share,0.2180709473321628,0.010644993929791024,20.48577470033784,2.8836020371512723e-93,132883,0.012010141744498215,everyday,ses
const,0.05266795805668376,0.005804537265013792,9.073584275896387,1.1516485648528725e-19,135129,0.015464230632367348,everyday,ses
ses_census_foreign_born_share,-0.13114014737096624,0.005056689287355235,-25.933993551649596,2.7559320523933748e-148,135129,0.015464230632367348,everyday,ses
const,0.02960192238548192,0.0057106037446246795,5.18367649188509,2.175541617360268e-07,135129,0.003922355236866237,everyday,ses
ses_census_share_ge65,0.13062853230497937,0.01004417736758934,13.005398802145104,1.1400262723259314e-38,135129,0.003922355236866237,everyday,ses
const,-0.012946638264524277,0.00492041008174126,-2.631211230252308,0.008508113700886765,135129,0.01598847730704689,everyday,ses
ses_census_share_u15,0.20384467966167638,0.008802274748959438,23.158181887673287,1.2024381557803564e-118,135129,0.01598847730704689,everyday,ses
const,0.9283151226478943,0.007669307680690306,121.04288435124272,0.0,142121,0.1390962245121472,emergency,density
ses_log10_density,-0.7353474072898035,0.005408943597695887,-135.95028197429315,0.0,142121,0.1390962245121472,emergency,density
const,0.05063716574993273,0.0045206136426387605,11.201392057113498,4.013763000731462e-29,132883,0.016149617611509903,emergency,ses
ses_census_employment_share,0.2528744001204422,0.009865550422960721,25.632062001519103,6.70186336243876e-145,132883,0.016149617611509903,emergency,ses
const,0.06630621359100859,0.004346088106523774,15.256527701653921,1.4896723916501897e-52,135129,0.024510028294399855,emergency,ses
ses_census_foreign_born_share,-0.16509860915012586,0.003368096244456326,-49.018376307348035,0.0,135129,0.024510028294399855,emergency,ses
const,0.12010180441897765,0.005087334320870658,23.608003100221485,3.189607474902476e-123,135129,0.06456633831805658,emergency,ses
ses_census_share_ge65,0.5299899862626914,0.010702438833243628,49.52048729458287,0.0,135129,0.06456633831805658,emergency,ses
const,0.003059757601988683,0.0037088972349472696,0.8249777246880728,0.4093842372427584,135129,0.0008930322077206343,emergency,ses
ses_census_share_u15,-0.04817585040039443,0.0059888685543087305,-8.044232389394153,8.678769063923369e-16,135129,0.0008930322077206343,emergency,ses
