term,coef,se,t,p,n,r2,regime,model
const,1.787443625883177,0.011809777103761514,151.35286721998006,0.0,35956,0.48956519457931846,everyday,density
ses_log10_density,-1.3175871622783144,0.008277722996589696,-159.17265687933042,0.0,35956,0.48956519457931846,everyday,density
const,0.0011461692149488715,0.009717811768347455,0.11794519612760325,0.9061110818161068,32845,0.00043208573411490647,everyday,ses
ses_census_employment_share,0.032091798973619357,0.019026983225125794,1.6866467265941045,0.09167130143213491,32845,0.00043208573411490647,everyday,ses
const,0.002946446774541023,0.00882775098850731,0.3337709432874748,0.7385524111489081,33261,0.024842394832960135,everyday,ses
ses_census_foreign_born_share,-0.2872320925985411,0.020681471260817957,-13.888378103095407,7.450330133206745e-44,33261,0.024842394832960135,everyday,ses
const,0.02144757304735305,0.009604002248460645,2.233191173064409,0.025536340172923472,33261,0.01769113230325481,everyday,ses
ses_census_share_ge65,-0.25933515026431775,0.02097618584931052,-12.363312955336063,4.1278687705743823e-35,33261,0.01769113230325481,everyday,ses
const,0.0011548588832335086,0.009415325870749584,0.12265734602147835,0.9023784416799036,33261,0.006204927734197563,everyday,ses
ses_census_share_u15,0.13402895712713103,0.01589281821360285,8.433303352857461,3.360421331136436e-17,33261,0.006204927734197563,everyday,ses
const,1.2438903332541196,0.013784308158070897,90.23959120689021,0.0,35956,0.23708824004154017,emergency,density
ses_log10_density,-0.9169150347709142,0.007462129351495054,-122.87578941354163,0.0,35956,0.23708824004154017,emergency,density
const,0.0032371540138762655,0.00933026968823964,0.3469518161898947,0.7286275179193095,32845,0.0034466657876128792,emergency,ses
ses_census_employment_share,0.09063766022071955,0.010477046090583232,8.651070104786946,5.101874816550591e-18,32845,0.0034466657876128792,emergency,ses
const,0.005519338810290033,0.008175617852780037,0.6750974555902509,0.4996138500941524,33261,0.08717066686481978,emergency,ses
ses_census_foreign_born_share,-0.5380484894342263,0.018848252915126644,-28.546332217476568,3.1194193734113434e-179,33261,0.08717066686481978,emergency,ses
const,0.001997138037077336,0.009435407271203509,0.21166421116473927,0.8323690107997064,33261,0.00015339651236012664,emergency,ses
ses_census_share_ge65,-0.024148564119609604,0.013701611916177189,-1.762461545936645,0.07799134794815789,33261,0.00015339651236012664,emergency,ses
const,0.0016596299523502275,0.009087128702372545,0.18263524229792377,0.855084230047519,33261,0.012814492688585366,emergency,ses
ses_census_share_u15,0.19261095442905368,0.01559762619835973,12.348735120303688,4.948330075873729e-35,33261,0.012814492688585366,emergency,ses
