term,coef,se,t,p,n,r2,regime,model
const,1.6433021884836767,0.018276937112591023,89.91124597959043,0.0,10179,0.5169296787702278,everyday,density
ses_log10_density,-1.0297730987901572,0.011397021817742754,-90.35457817471386,0.0,10179,0.5169296787702278,everyday,density
const,0.0743284768243117,0.02511144362736484,2.9599443953637654,0.003076945725862169,6244,0.048111976544970236,everyday,ses
ses_census_employment_share,0.4379445617093329,0.03951465545021619,11.083092000159064,1.515468746708505e-28,6244,0.048111976544970236,everyday,ses
const,0.009040033678023618,0.02449410033278097,0.3690698394798828,0.7120756690510757,6527,0.08250267254788479,everyday,ses
ses_census_foreign_born_share,-0.6551777277824824,0.08150518015771575,-8.038479597427887,9.096000099976756e-16,6527,0.08250267254788479,everyday,ses
const,-0.012330154103454014,0.025482237483828944,-0.483872505751457,0.6284763540001815,6527,0.15061754472698774,everyday,ses
ses_census_share_ge65,0.4457336252478627,0.010743781458040514,41.48759233317065,0.0,6527,0.15061754472698774,everyday,ses
const,0.08990489985737735,0.028448335802565106,3.1602867908101278,0.0015761391339196812,6527,0.1278359527153603,everyday,ses
ses_census_share_u15,-0.6122462254718127,0.0316453616990916,-19.347107841380357,2.156062290730559e-83,6527,0.1278359527153603,everyday,ses
const,1.3624695995997889,0.022682203238722227,60.06778024428556,0.0,10179,0.35534502668848467,emergency,density
ses_log10_density,-0.8537897359473977,0.012117423230075482,-70.4596777496629,0.0,10179,0.35534502668848467,emergency,density
const,0.037311487758732345,0.024531994040926777,1.520931714579969,0.1282769742593808,6244,0.012123495781954263,emergency,ses
ses_census_employment_share,0.21983987633493846,0.027276347792066634,8.059725517903802,7.646595042897717e-16,6244,0.012123495781954263,emergency,ses
const,0.007671435367871652,0.022886366132123876,0.33519674218196804,0.7374766793900225,6527,0.05941295881563491,emergency,ses
ses_census_foreign_born_share,-0.5559883704162489,0.06297547485512603,-8.828649116108936,1.059475249821122e-18,6527,0.05941295881563491,emergency,ses
const,-0.008138849326787425,0.02383087460460419,-0.34152541448122,0.7327080757375284,6527,0.0656242830620497,emergency,ses
ses_census_share_ge65,0.2942184489615506,0.008718227232527133,33.747508652199485,1.1629314918352527e-249,6527,0.0656242830620497,emergency,ses
const,0.059362578875615364,0.025893662210656233,2.2925524552176086,0.02187378430516113,6527,0.05573292140407837,emergency,ses
ses_census_share_u15,-0.4042551063237329,0.02453472480531312,-16.476855132126424,5.381219481566254e-61,6527,0.05573292140407837,emergency,ses
