term,coef,se,t,p,n,r2,regime,model
const,1.5922071417561277,0.01418592728432772,112.23849592935393,0.0,99862,0.33417944856382686,everyday,density
ses_log10_density,-1.008531439762385,0.011381470427475828,-88.61169970865146,0.0,99862,0.33417944856382686,everyday,density
const,-0.00041448892855566223,0.0071680000241567485,-0.05782490613264516,0.953888099143472,78864,0.000303345263178878,everyday,ses
ses_census_employment_share,0.043314663892262954,0.02137119076430185,2.0267782160559435,0.04268509923372434,78864,0.000303345263178878,everyday,ses
const,0.15219374561667795,0.009270957344125046,16.416184431386935,1.4649395696778588e-60,84718,0.04700573813308051,everyday,ses
ses_census_foreign_born_share,-0.2275015670729388,0.012953899922411818,-17.562399619849888,4.781065132661183e-69,84718,0.04700573813308051,everyday,ses
const,0.0060641111582647,0.00731248868067568,0.8292814420745703,0.4069451695151246,84718,0.0018039488579306706,everyday,ses
ses_census_share_ge65,0.0920673007722282,0.019695771706617873,4.674470345393633,2.947132142247303e-06,84718,0.0018039488579306706,everyday,ses
const,0.0008902113074282163,0.007061077319759285,0.12607301508186344,0.8996741278531247,84718,0.00015271302295449818,everyday,ses
ses_census_share_u15,0.02802566200856023,0.015794669072908215,1.7743747513286752,0.07600118337674219,84718,0.00015271302295449818,everyday,ses
const,0.9605202251442957,0.010656942813717108,90.13093547879039,0.0,99862,0.12161681647945688,emergency,density
ses_log10_density,-0.6084100618448558,0.00557536596232945,-109.12468633550564,0.0,99862,0.12161681647945688,emergency,density
const,0.0012834436803532898,0.005957647305200227,0.21542793901764135,0.8294336891526262,78864,0.002908472623522007,emergency,ses
ses_census_employment_share,-0.1341216322300543,0.015071647141680985,-8.898936590622391,5.638429372081885e-19,78864,0.002908472623522007,emergency,ses
const,0.1491767698167409,0.008776001455846285,16.9982617445174,8.459126911988386e-65,84718,0.04516059588388699,emergency,ses
ses_census_foreign_born_share,-0.2229917449411177,0.009443127936533202,-23.614182338715967,2.7558846800152953e-123,84718,0.04516059588388699,emergency,ses
const,0.02111009636920831,0.006522226573230218,3.2366395328632778,0.0012094608173205507,84718,0.021861016187502136,emergency,ses
ses_census_share_ge65,0.3205003241251165,0.017901265109846024,17.90378066345911,1.1018180717786003e-71,84718,0.021861016187502136,emergency,ses
const,-0.004101464288436465,0.005814985500216433,-0.7053266578710831,0.4806069744568455,84718,0.0032416620019277698,emergency,ses
ses_census_share_u15,-0.12912243523388922,0.009451342595078866,-13.661808778481992,1.7166606411036115e-42,84718,0.0032416620019277698,emergency,ses
