term,coef,se,t,p,n,r2,regime,model
const,1.21283019051955,0.011623027568175818,104.34718350323058,0.0,44888,0.2544880568668495,everyday,density
ses_log10_density,-1.156554856515074,0.012678921206256666,-91.21871156864269,0.0,44888,0.2544880568668495,everyday,density
const,0.16720739176883292,0.007108436591804798,23.522386337609543,2.4073069439333705e-122,43471,0.14528287055264177,everyday,ses
ses_census_foreign_born_share,-0.4465049280148743,0.008166659408060167,-54.67412141299682,0.0,43471,0.14528287055264177,everyday,ses
const,0.0013816876027045418,0.007526366608713342,0.183579630721808,0.8543432438544529,43471,0.0057576310251578056,everyday,ses
ses_census_share_ge65,-0.08750197690385096,0.008004149016530147,-10.932077441729547,8.097311055161177e-28,43471,0.0057576310251578056,everyday,ses
const,0.006892474949449918,0.007507614382266484,0.9180645939581594,0.35858504973062943,43431,0.009161018903827256,everyday,ses
ses_census_share_u15,-0.12738357500689773,0.009687367406750148,-13.149452235922938,1.7141169114832372e-39,43431,0.009161018903827256,everyday,ses
const,0.8212876327983729,0.013334158967213216,61.592758479766246,0.0,44888,0.11669653840680261,emergency,density
ses_log10_density,-0.7831798777220625,0.010531790134102771,-74.36341474238687,0.0,44888,0.11669653840680261,emergency,density
const,0.1105290090749776,0.006024318716542564,18.347138369600017,3.4796261002592295e-75,43471,0.06348279218248587,emergency,ses
ses_census_foreign_born_share,-0.29515290393864785,0.008160731849716633,-36.1674552447029,1.9782509504216845e-286,43471,0.06348279218248587,emergency,ses
const,-0.0017878134002630882,0.00513728316803137,-0.34800756387898046,0.7278345029930687,43471,0.009639810229913337,emergency,ses
ses_census_share_ge65,0.11322183578401325,0.007012052484991286,16.14674676585139,1.1971101228204528e-58,43471,0.009639810229913337,emergency,ses
const,0.005852221376741109,0.005332608991751882,1.0974405559816833,0.2724488528552229,43431,0.006604422966529633,emergency,ses
ses_census_share_u15,-0.10815808344150214,0.009451732818258157,-11.443201529413779,2.5432401423918442e-30,43431,0.006604422966529633,emergency,ses
