term,coef,se,t,p,n,r2,regime,model
const,1.5186184535377865,0.01813593251325335,83.73533880477405,0.0,20764,0.3578423117180197,everyday,density
ses_log10_density,-1.2786599745186182,0.018977682841692614,-67.37703360230542,0.0,20764,0.3578423117180197,everyday,density
const,0.13531331027627932,0.014699652008966304,9.205205007148649,3.410196380971691e-20,19153,0.08465035548611988,everyday,ses
ses_census_employment_share,0.5159398727278631,0.02393136604760518,21.55914842895036,4.3452898319013073e-103,19153,0.08465035548611988,everyday,ses
const,0.20408556197112082,0.015064340234854577,13.547593773733626,8.187011082748451e-42,19454,0.12801571329353256,everyday,ses
ses_census_foreign_born_share,-0.3874591118838415,0.01379634783442143,-28.08417970712103,1.5286492846227398e-173,19454,0.12801571329353256,everyday,ses
const,-0.008099839182166264,0.01379337332613078,-0.5872268509416452,0.5570513612540522,19454,0.0036216451566909447,everyday,ses
ses_census_share_ge65,-0.10269604692755625,0.024230326330231967,-4.238327025724919,2.2519158582171702e-05,19454,0.0036216451566909447,everyday,ses
const,0.018075494272714685,0.012090080815169086,1.4950681098868974,0.13489666759299487,19454,0.05241932228480384,everyday,ses
ses_census_share_u15,0.34559339743412437,0.02124303515327344,16.26855084222135,1.6501706790010303e-59,19454,0.05241932228480384,everyday,ses
const,1.1167562961853803,0.019113809077138433,58.42667422691302,0.0,20764,0.19351345382785456,emergency,density
ses_log10_density,-0.9402964740072375,0.016460245497434856,-57.125300722505756,0.0,20764,0.19351345382785456,emergency,density
const,0.09123725675382756,0.012547387433366006,7.271414646144542,3.557421270136207e-13,19153,0.03848506164274246,emergency,ses
ses_census_employment_share,0.3478810661086979,0.020260242392528723,17.170627052171124,4.406340024795684e-66,19153,0.03848506164274246,emergency,ses
const,0.1521246244694532,0.012628260046046795,12.046364575543798,2.0269411444118976e-33,19454,0.07112753457351473,emergency,ses
ses_census_foreign_born_share,-0.2888105916132266,0.00918924738617894,-31.429188863454833,8.080636704513572e-217,19454,0.07112753457351473,emergency,ses
const,0.031129472929168067,0.011218159718896127,2.774917964194507,0.005521563373158143,19454,0.05349296109745327,emergency,ses
ses_census_share_ge65,0.39468361542319413,0.01828245165131934,21.588112084229802,2.323104482777879e-103,19454,0.05349296109745327,emergency,ses
const,0.00693770422306184,0.01067348879863401,0.6499940510500865,0.5156960643119411,19454,0.007722227625919786,emergency,ses
ses_census_share_u15,0.1326450461971753,0.014445239601215685,9.182613086321679,4.2075487908932566e-20,19454,0.007722227625919786,emergency,ses
