term,coef,se,t,p,n,r2,regime,model
const,1.4275404144834865,0.020191507657708645,70.70004076384484,0.0,24103,0.25651180024947906,everyday,density
ses_log10_density,-1.0989245102675236,0.016229486896536346,-67.71159909572083,0.0,24103,0.25651180024947906,everyday,density
const,0.013964926138978179,0.011318120275572503,1.2338556049027136,0.2172567149795538,24059,0.007203119778417144,everyday,ses
ses_census_employment_share,0.1549985302886358,0.02213614497595075,7.002056160050903,2.5223292652711566e-12,24059,0.007203119778417144,everyday,ses
const,0.23713672732464788,0.013444043246644633,17.638795336650862,1.2407799188109267e-69,24070,0.14519719864998704,everyday,ses
ses_census_foreign_born_share,-0.3517321459898904,0.010556523648721079,-33.31893696202752,2.0535734744363426e-243,24070,0.14519719864998704,everyday,ses
const,-0.003657359345951368,0.010869689184370916,-0.33647322236316896,0.7365140411035179,24070,0.014131854875122474,everyday,ses
ses_census_share_ge65,-0.15576954239087243,0.01564078087057849,-9.959192170762195,2.2992332059948852e-23,24070,0.014131854875122474,everyday,ses
const,-0.0024963192487964326,0.011158841351606769,-0.22370774618432818,0.8229847181156671,24070,0.0013960563706459928,everyday,ses
ses_census_share_u15,0.061409136203585596,0.01903766945886499,3.2256645875837555,0.0012568054973421316,24070,0.0013960563706459928,everyday,ses
const,1.1116275949238235,0.019079836756113192,58.2619028209273,0.0,24103,0.1555425313239931,emergency,density
ses_log10_density,-0.8557339588830665,0.015510027684618143,-55.172948513285306,0.0,24103,0.1555425313239931,emergency,density
const,0.026441020703430258,0.01199703333924217,2.2039632595620082,0.027526928036625084,24059,0.02582258899990275,emergency,ses
ses_census_employment_share,0.2934723254227657,0.01927762621078899,15.223467983756208,2.4707882708540464e-52,24059,0.02582258899990275,emergency,ses
const,0.19324985591958946,0.011773955137122153,16.413333809154,1.535381164635363e-60,24070,0.09642706565877424,emergency,ses
ses_census_foreign_born_share,-0.28663711143225046,0.008341055900987158,-34.36460741119445,8.522879744377843e-259,24070,0.09642706565877424,emergency,ses
const,-0.010547556960741437,0.011160968670116274,-0.9450395635445821,0.3446386779860209,24070,0.11753512173935476,emergency,ses
ses_census_share_ge65,-0.449227971797499,0.015698873871783314,-28.615299126960178,4.334881498459738e-180,24070,0.11753512173935476,emergency,ses
const,-0.019409805605495222,0.011232244293141475,-1.7280433988910882,0.0839804439364865,24070,0.0844005108722965,emergency,ses
ses_census_share_u15,0.4774787506396322,0.019680603075310575,24.261388170499302,5.013904168540573e-130,24070,0.0844005108722965,emergency,ses
