term,coef,se,t,p,n,r2,regime,model
const,1.5989345899822562,0.005908703489250681,270.6066724944133,0.0,174932,0.5081131012579019,everyday,density
ses_log10_density,-1.0517210993224446,0.0049486473543758226,-212.52698444807635,0.0,174932,0.5081131012579019,everyday,density
const,0.09825499471101626,0.00613064888239592,16.026850761777307,8.298293524064741e-58,157575,0.060552778950599295,everyday,ses
ses_census_employment_share,-0.45634310887085816,0.009596779335943812,-47.55169342715519,0.0,157575,0.060552778950599295,everyday,ses
const,0.06698584640816077,0.006564492773355746,10.204268436404698,1.8974564982787863e-24,163224,0.03609350646145115,everyday,ses
ses_census_foreign_born_share,-0.18973941119859888,0.005381888104536635,-35.255175788337,2.8583047912793005e-272,163224,0.03609350646145115,everyday,ses
const,0.008960672617650808,0.006783838410964487,1.320885326980663,0.18653960294059602,163224,0.0005488226221106451,everyday,ses
ses_census_share_ge65,0.0440495827477481,0.007879204370245186,5.5906130464258235,2.262693161649091e-08,163224,0.0005488226221106451,everyday,ses
const,0.04601014849576132,0.006630534853258816,6.939130781153797,3.945197832607853e-12,163224,0.010002610525663425,everyday,ses
ses_census_share_u15,-0.15534524840215835,0.006329546642625271,-24.542871262850298,5.1535528184053325e-133,163224,0.010002610525663425,everyday,ses
const,0.5532401783555254,0.019860086062536704,27.856887256855156,8.888968117674268e-171,174932,0.06083120546047116,emergency,density
ses_log10_density,-0.36390129540938615,0.017710329866641908,-20.54740358590431,8.119114007393197e-94,174932,0.06083120546047116,emergency,density
const,0.08992134291183468,0.009612817334968252,9.354317238998243,8.414138437717017e-21,157575,0.05071662838021429,emergency,ses
ses_census_employment_share,-0.4176376508789153,0.011989166237867999,-34.83458670877373,7.287748331100236e-266,157575,0.05071662838021429,emergency,ses
const,-0.10099451153259639,0.005865640445117727,-17.217985397768338,1.9464642886968616e-66,163224,0.08204620975040189,emergency,ses
ses_census_foreign_born_share,0.28606997119544203,0.02048045383119991,13.96795078630744,2.445626364919848e-44,163224,0.08204620975040189,emergency,ses
const,0.1008864981750073,0.00952059555240288,10.596658330848305,3.0881832485053166e-26,163224,0.06956917910989724,emergency,ses
ses_census_share_ge65,0.4959458222741579,0.010495821701307827,47.25173849059963,0.0,163224,0.06956917910989724,emergency,ses
const,0.14318561620994658,0.009366534158657047,15.286936852475668,9.344298974704334e-53,163224,0.09687347409520175,emergency,ses
ses_census_share_u15,-0.4834412807817668,0.006808925542067769,-71.00111137872025,0.0,163224,0.09687347409520175,emergency,ses
