term,coef,se,t,p,n,r2,regime,model
const,1.5613620821949767,0.004452123477739353,350.7005342510821,0.0,271584,0.4764597212464513,everyday,density
ses_log10_density,-1.171500114441447,0.003518408086653365,-332.9631144509314,0.0,271584,0.4764597212464513,everyday,density
const,0.06934361190338045,0.003332491412717899,20.808339261953414,3.6372793442486116e-96,261030,0.042519233782000954,everyday,ses
ses_census_employment_share,-0.31339665534797223,0.005023050560149788,-62.39169835045951,0.0,261030,0.042519233782000954,everyday,ses
const,0.0005035820253834755,0.0035248027812398233,0.14286814231528275,0.8863943191747632,117896,0.0004930441529231722,everyday,ses
ses_census_foreign_born_share,0.032490599227308965,0.005234445824990868,6.207075269016782,5.397974867120886e-10,117896,0.0004930441529231722,everyday,ses
const,0.05324045511658832,0.003273045834914643,16.266333501552314,1.7110110955076424e-59,249255,0.03671820503186152,everyday,ses
ses_census_share_ge65,-0.20126848004809897,0.0037277784865339656,-53.99153430793992,0.0,249255,0.03671820503186152,everyday,ses
const,0.11380468124312242,0.0033089531535032395,34.39295631086093,3.2134027717853723e-259,249445,0.07285498271036472,everyday,ses
ses_census_share_u15,0.32164682739381933,0.0039004280772829327,82.46449390187985,0.0,249445,0.07285498271036472,everyday,ses
const,0.8608846618245871,0.004878463976036423,176.46633572644006,0.0,271584,0.14484679033250158,emergency,density
ses_log10_density,-0.6459273549352468,0.0032526078665238503,-198.58752774448854,0.0,271584,0.14484679033250158,emergency,density
const,0.08646857360053901,0.003855953465339129,22.424693238079353,2.2604841660039164e-111,261030,0.06611334051555096,emergency,ses
ses_census_employment_share,-0.39079247554738117,0.006449116863726718,-60.59627756870201,0.0,261030,0.06611334051555096,emergency,ses
const,-0.002752987107756597,0.003730714524426639,-0.7379248907230967,0.46056009250376473,117896,0.014735121715692467,emergency,ses
ses_census_foreign_born_share,-0.17761992344341931,0.009465305810305717,-18.765365536317777,1.4499676255572502e-78,117896,0.014735121715692467,emergency,ses
const,0.018168124429357575,0.003008059964099646,6.039814580224149,1.5429142637387223e-09,249255,0.0042758072091151345,emergency,ses
ses_census_share_ge65,-0.06868218502666788,0.002581178329132074,-26.608849242029084,5.362353196372648e-156,249255,0.0042758072091151345,emergency,ses
const,0.04195574451516712,0.002842610243253817,14.759583947443366,2.6692233063001535e-49,249445,0.009901976023018899,emergency,ses
ses_census_share_u15,0.11857976286071867,0.002669586003308868,44.418783554357404,0.0,249445,0.009901976023018899,emergency,ses
