term,coef,se,t,p,n,r2,regime,model
const,1.3968841173913469,0.008424130836824927,165.8193758441002,0.0,64370,0.4239395042607139,everyday,density
ses_log10_density,-1.1576159321822843,0.00627353932712319,-184.5235794055544,0.0,64370,0.4239395042607139,everyday,density
const,0.013879646684545183,0.006168622112558185,2.2500400302182175,0.024446404334143825,58860,0.017960135477957162,everyday,ses
ses_census_employment_share,-0.1780160265333555,0.008037255187432051,-22.148858333093767,1.0699606331687429e-108,58860,0.017960135477957162,everyday,ses
const,0.027534509358268733,0.005957265667954801,4.622004606304834,3.8004957310497777e-06,37800,0.017845647438312295,everyday,ses
ses_census_foreign_born_share,-0.19557440352579153,0.010736098514800252,-18.21652467664882,3.816369728524834e-74,37800,0.017845647438312295,everyday,ses
const,0.1158979114820691,0.0064234187392480865,18.04302602505343,8.95058279290333e-73,56720,0.08028845560917142,everyday,ses
ses_census_share_ge65,-0.2736016403267248,0.0046057177718150846,-59.40477768764804,0.0,56720,0.08028845560917142,everyday,ses
const,0.17013839354890184,0.006355204627915659,26.771505169409906,6.939157133406242e-158,56577,0.10026182486846646,everyday,ses
ses_census_share_u15,0.3452561882441409,0.005653279920385707,61.07183672245706,0.0,56577,0.10026182486846646,everyday,ses
const,0.8281458403456452,0.015613402715769444,53.04070198030714,0.0,64370,0.14900360585090433,emergency,density
ses_log10_density,-0.6862951672361426,0.018664009445763477,-36.77104693021488,5.360198520994489e-296,64370,0.14900360585090433,emergency,density
const,0.010131483313017591,0.010242773994024157,0.989134712815933,0.32259723584829414,58860,0.009569711677085091,emergency,ses
ses_census_employment_share,-0.12994325023277728,0.012327229201215937,-10.541156338681517,5.580842563002845e-26,58860,0.009569711677085091,emergency,ses
const,0.01451705026588715,0.009510096963495735,1.5264881442965803,0.12688834080423622,37800,0.0049606020187557,emergency,ses
ses_census_foreign_born_share,-0.10311291222816935,0.01774596988857336,-5.8104974186034095,6.228749329294364e-09,37800,0.0049606020187557,emergency,ses
const,0.08239944420046406,0.008395272518115253,9.814981469947902,9.705581999978778e-23,56720,0.04058358879390678,emergency,ses
ses_census_share_ge65,-0.1945213922059789,0.007224860943862893,-26.92389427525435,1.1535083333203167e-159,56720,0.04058358879390678,emergency,ses
const,0.12782608315818364,0.006431077850851764,19.876307848031058,6.526338999134348e-88,56577,0.05659393767602183,emergency,ses
ses_census_share_u15,0.2593932228276756,0.012364861445325604,20.97825551662257,1.0362562372701899e-97,56577,0.05659393767602183,emergency,ses
