term,coef,se,t,p,n,r2,regime,model
const,1.4889716999505282,0.0048683488328096864,305.84737270997755,0.0,128416,0.5318042455907426,everyday,density
ses_log10_density,-1.155439560509715,0.003742830328384614,-308.7074377235787,0.0,128416,0.5318042455907426,everyday,density
const,0.16619102482281878,0.006046395292578858,27.485967552732788,2.5834688544830957e-166,122944,0.13258776686276452,everyday,ses
ses_census_employment_share,-0.5773941539936481,0.016048745376134103,-35.97752599728351,1.8793687960297937e-283,122944,0.13258776686276452,everyday,ses
const,0.08824190390653733,0.00634642957486407,13.904180746924514,5.974704789124117e-44,124041,0.04145778753210738,everyday,ses
ses_census_foreign_born_share,-0.2661372052642916,0.007252195369391887,-36.697467691994596,8.014838574925962e-295,124041,0.04145778753210738,everyday,ses
const,1.5352062432573744e-05,0.0059516014034645,0.0025794843088176437,0.9979418715775364,124041,1.828721774010944e-08,everyday,ses
ses_census_share_ge65,0.00023536254011328846,0.008377363994801865,0.028095059526998038,0.9775863344459784,124041,1.828721774010944e-08,everyday,ses
const,0.00918624835158473,0.006236144803010207,1.4730652737810863,0.14073343599692717,124041,0.00197846373080357,everyday,ses
ses_census_share_u15,-0.06756987157510116,0.007704095775862835,-8.770642725756293,1.77649292290268e-18,124041,0.00197846373080357,everyday,ses
const,1.1223335643625834,0.006179222733049829,181.63021675197686,0.0,128416,0.30215015084336183,emergency,density
ses_log10_density,-0.870928977626298,0.004005646421023531,-217.4253256740909,0.0,128416,0.30215015084336183,emergency,density
const,0.1603432542977629,0.005924411908903039,27.064838968540247,2.5550158910159093e-161,122944,0.12342118490672271,emergency,ses
ses_census_employment_share,-0.557077361804278,0.017642573990761655,-31.57574184447154,7.950365140555767e-219,122944,0.12342118490672271,emergency,ses
const,0.11909484472782896,0.0050497696620295145,23.584213280723077,5.597105758879325e-123,124041,0.07551657885996432,emergency,ses
ses_census_foreign_born_share,-0.359189542995581,0.0076938012422939905,-46.68557604803483,0.0,124041,0.07551657885996432,emergency,ses
const,0.015002522864369735,0.004586364962303284,3.2711140495097952,0.0010712469902946326,124041,0.017463961961284746,emergency,ses
ses_census_share_ge65,0.2300037473780433,0.012232989913820495,18.801924059316963,7.282604760786266e-79,124041,0.017463961961284746,emergency,ses
const,0.03901412423097376,0.004869708193115117,8.011593854049128,1.1323127382460472e-15,124041,0.03568580133075705,emergency,ses
ses_census_share_u15,-0.2869701822776407,0.008255337765032292,-34.761773587651405,9.202384542173236e-265,124041,0.03568580133075705,emergency,ses
