term,coef,se,t,p,n,r2,regime,model
const,1.2693204949070616,0.012208701036423669,103.96851320383281,0.0,19485,0.36829792727140565,everyday,density
ses_log10_density,-1.2484343326253595,0.012348460666266712,-101.10040161004103,0.0,19485,0.36829792727140565,everyday,density
const,0.0259031642909618,0.013840403887170978,1.8715612999539775,0.06126732169295636,18041,0.02823595839973503,everyday,ses
ses_census_employment_share,-0.2654492116723556,0.017425934132978962,-15.232997533830174,2.1357086960978407e-52,18041,0.02823595839973503,everyday,ses
const,0.07151475501412997,0.011750208951596536,6.08625389631161,1.1558310094549158e-09,18129,0.10369293721480877,everyday,ses
ses_census_foreign_born_share,-0.4391265789006368,0.033625758884533175,-13.059231775513076,5.629297482187122e-39,18129,0.10369293721480877,everyday,ses
const,0.03968695426637392,0.012878379414763955,3.081673010881807,0.0020584081770759475,18129,0.05761912566631966,everyday,ses
ses_census_share_ge65,-0.34455682209665883,0.021095737898378535,-16.333006399512684,5.748064098559875e-60,18129,0.05761912566631966,everyday,ses
const,0.00906893251557655,0.013092055842806791,0.6927049979365404,0.4884947019496436,18129,0.006655194340401738,everyday,ses
ses_census_share_u15,0.13778289964814644,0.016067051090397952,8.575493964196625,9.866242725589856e-18,18129,0.006655194340401738,everyday,ses
const,0.9193692136803855,0.015687186938276768,58.60637839644294,0.0,19485,0.19321311548396547,emergency,density
ses_log10_density,-0.9042413600998477,0.017597531580707336,-51.38455674608322,0.0,19485,0.19321311548396547,emergency,density
const,0.03840434137722748,0.013440639144674435,2.857329994790045,0.004272214226808095,18041,0.062066540086601174,emergency,ses
ses_census_employment_share,-0.3935581780229886,0.018956769993957234,-20.76082466308561,9.787270687633916e-96,18041,0.062066540086601174,emergency,ses
const,0.07113468949054585,0.010918060018795615,6.515323177202393,7.253332187872123e-11,18129,0.10259371264634032,emergency,ses
ses_census_foreign_born_share,-0.4367928384984434,0.029769981552709438,-14.672257613766973,9.706109361403003e-49,18129,0.10259371264634032,emergency,ses
const,0.03276839718923461,0.012055785902832825,2.718063961432395,0.006566514292262244,18129,0.03928090822435948,emergency,ses
ses_census_share_ge65,-0.28449083608036346,0.021460552478176027,-13.256454435162933,4.140116991796224e-40,18129,0.03928090822435948,emergency,ses
const,-0.001944174155268314,0.012520192752291007,-0.15528308499184723,0.8765981500818969,18129,0.00030585721709919245,emergency,ses
ses_census_share_u15,-0.029537539514571727,0.016545112907703628,-1.78527276781645,0.0742170837695377,18129,0.00030585721709919245,emergency,ses
